"order_id";"order_date";"customer_id";"product_id";"warehouse_id";"supplier_id";"quantity_ordered";"unit_price";"unit_cost";"sales_amount";"cost_amount";"profit";"order_status";"shipping_days";"delivery_date";"order_date_clean";"delivery_date_clean";"rn";"missing_delivery_date_flag"
"ORD000012";"2023-02-05";"C02194";"P0031";"W010";"S0107";459;42018.1;28113.13;19286307.9;12903926.67;6382381.23;"Completed";"6";"11/02/2023";"2023-02-05";"2023-02-11";1;"No"
"ORD000013";"28-10-2025";"C01563";"P0474";"W010";"S0008";65;4231.75;2648.14;275063.75;172129.1;102934.65;"Completed";"2";"30-10-2025";"2025-10-28";"2025-10-30";1;"No"
"ORD000014";"19-12-2025";"C02596";"P0100";"W023";"";324;28668.11;16542.66;9288467.64;5359821.84;3928645.8;"Completed";"3";"22-12-2025";"2025-12-19";"2025-12-22";1;"No"
"ORD000015";"23/09/2023";"C01392";"P0390";"W040";"S0127";68;22820.46;15258.13;1551791.28;1037552.84;514238.44;"Completed";"6";"29-09-2023";"2023-09-23";"2023-09-29";1;"No"
"ORD000016";"2023-09-21";"C02773";"P0131";"W033";"S0006";413;23180.88;20889.71;9573703.44;8627450.23;946253.21;"Completed";"";"";"2023-09-21";"";1;"Yes"
"ORD000017";"29/10/2023";"C01715";"P0468";"W023";"S0077";324;20001.71;12552.96;6480554.04;4067159.04;2413395.0;"Completed";"2";"";"2023-10-29";"";1;"Yes"
"ORD000018";"04-09-2025";"C02069";"P0135";"W022";"S0112";231;19987.01;11154.91;4616999.31;2576784.21;2040215.1;"Completed";"142";"24-01-2026";"2025-09-04";"2026-01-24";1;"No"
"ORD000019";"14-03-2025";"C02175";"P0494";"W033";"S0131";353;1812.09;1068.71;639667.77;377254.63;262413.14;"Returned";"4";"18/03/2025";"2025-03-14";"2025-03-18";1;"No"
"ORD000020";"2025-06-25";"C02651";"P0373";"W009";"S0036";451;21307.12;11867.76;9609511.12;5352359.76;4257151.36;"Completed";"2";"27/06/2025";"2025-06-25";"2025-06-27";1;"No"
"ORD000021";"17-02-2023";"C00327";"P0453";"W049";"S0148";46;39978.25;24096.71;1838999.5;1108448.66;730550.84;"Completed";"3";"20/02/2023";"2023-02-17";"2023-02-20";1;"No"
"ORD000022";"01-02-2023";"C01188";"P0110";"W020";"";10394;6106.6;4040.05;63472000.4;41992279.7;21479720.7;"Delayed";"35";"08-03-2023";"2023-02-01";"2023-03-08";1;"No"
"ORD000023";"2023-09-07";"C01675";"P0133";"W031";"S0056";236;36567.3;20740.49;8629882.8;4894755.64;3735127.16;"Completed";"5";"12-09-2023";"2023-09-07";"2023-09-12";1;"No"
"ORD000024";"26-04-2023";"C02568";"P0420";"W034";"S0106";289;11092.08;7620.22;3205611.12;2202243.58;1003367.54;"Completed";"5";"01/05/2023";"2023-04-26";"2023-05-01";1;"No"
"ORD000025";"10-11-2024";"C02937";"P0195";"W035";"S0001";353;29670.41;26207.29;10473654.73;9251173.37;1222481.36;"Delayed";"57";"2025-01-06";"2024-11-10";"2025-01-06";1;"No"
"ORD000026";"15/08/2023";"C01678";"P0270";"W041";"S0127";112;18707.15;17459.5;2095200.8;1955464.0;139736.8;"Completed";"4";"19/08/2023";"2023-08-15";"2023-08-19";1;"No"
"ORD000027";"25/10/2025";"C00601";"P0010";"W006";"S0060";313;13963.17;8787.25;4370472.21;2750409.25;1620062.96;"Delayed";"32";"26/11/2025";"2025-10-25";"2025-11-26";1;"No"
"ORD000028";"01-01-2025";"C02002";"P0326";"W018";"S0138";103;23904.92;14130.46;2462206.76;1455437.38;1006769.38;"Cancelled";"5";"06-01-2025";"2025-01-01";"2025-01-06";1;"No"
"ORD000029";"25/07/2025";"C01324";"P0495";"W049";"";142;34307.27;22906.91;4871632.34;3252781.22;1618851.12;"Completed";"6";"31/07/2025";"2025-07-25";"2025-07-31";1;"No"
"ORD000030";"30-08-2023";"";"P0405";"W008";"S0104";316;21248.82;17342.05;6714627.12;5480087.8;1234539.32;"Completed";"7";"06/09/2023";"2023-08-30";"2023-09-06";1;"No"
"ORD000031";"2025-06-21";"C00452";"P0272";"W026";"";307;46771.5;44284.45;14358850.5;13595326.15;763524.35;"Completed";"2";"2025-06-23";"2025-06-21";"2025-06-23";1;"No"
"ORD000032";"19-03-2023";"C01251";"P0044";"W050";"S0043";389;28801.58;19847.66;11203814.62;7720739.74;3483074.88;"Delayed";"23";"2023-04-11";"2023-03-19";"2023-04-11";1;"No"
"ORD000033";"09-09-2025";"";"P0196";"W001";"S0053";211;28407.89;21079.79;5994064.79;4447835.69;1546229.1;"Completed";"1";"2025-09-10";"2025-09-09";"2025-09-10";1;"No"
"ORD000034";"07/02/2024";"C01991";"P0466";"W007";"S0089";154;3645.87;2217.66;561463.98;341519.64;219944.34;"Completed";"2";"09/02/2024";"2024-02-07";"2024-02-09";1;"No"
"ORD000035";"30/10/2024";"C01651";"P0134";"W041";"S0036";140;837.84;713.82;117297.6;99934.8;17362.8;"Completed";"5";"04-11-2024";"2024-10-30";"2024-11-04";1;"No"
"ORD000036";"12-10-2025";"C02911";"P0070";"W034";"S0090";25;37481.87;29684.33;937046.75;742108.25;194938.5;"Cancelled";"";"2025-10-17";"2025-10-12";"2025-10-17";1;"No"
"ORD000037";"17/04/2025";"C02659";"P0228";"W043";"S0056";379;34155.88;21476.95;12945078.52;8139764.05;4805314.47;"Completed";"1";"18-04-2025";"2025-04-17";"2025-04-18";1;"No"
"ORD000038";"2024-05-18";"";"P0441";"W026";"S0123";11;22726.74;13638.3;249994.14;150021.3;99972.84;"Completed";"2";"20-05-2024";"2024-05-18";"2024-05-20";1;"No"
"ORD000039";"14-11-2025";"C02333";"P0137";"W007";"S0130";148;176.26;127.88;26086.48;18926.24;7160.24;"Completed";"4";"18-11-2025";"2025-11-14";"2025-11-18";1;"No"
"ORD000040";"13/05/2023";"C02754";"P0234";"W007";"S0110";248;3472.66;2503.67;861219.68;620910.16;240309.52;"Completed";"7";"2023-05-20";"2023-05-13";"2023-05-20";1;"No"
"ORD000041";"18/07/2024";"C01436";"P0318";"W025";"S0082";278;37978.81;24535.01;10558109.18;6820732.78;3737376.4;"Completed";"6";"24/07/2024";"2024-07-18";"2024-07-24";1;"No"
"ORD000042";"17/03/2023";"C01929";"P0247";"W043";"S0127";10;15184.47;10703.49;151844.7;107034.9;44809.8;"Cancelled";"6";"23-03-2023";"2023-03-17";"2023-03-23";1;"No"
"ORD000043";"2023-07-28";"";"P0173";"W045";"S0062";441;28205.68;16068.78;12438704.88;7086331.98;5352372.9;"Returned";"3";"31/07/2023";"2023-07-28";"2023-07-31";1;"No"
"ORD000044";"03-09-2024";"C01894";"P0443";"W030";"S0059";58;18029.1;13782.79;1045687.8;799401.82;246285.98;"Completed";"1";"04/09/2024";"2024-09-03";"2024-09-04";1;"No"
"ORD000045";"12/08/2024";"C02050";"P0315";"W022";"S0103";493;33177.46;20654.33;16356487.78;10182584.69;6173903.09;"Completed";"4";"";"2024-08-12";"";1;"Yes"
"ORD000046";"05/06/2024";"C02538";"P0054";"W043";"S0081";115;32425.48;21320.03;3728930.2;2451803.45;1277126.75;"Completed";"5";"2024-06-10";"2024-06-05";"2024-06-10";1;"No"
"ORD000047";"07/11/2023";"C02449";"P0122";"W020";"S0125";441;18367.59;14709.65;8100107.19;6486955.65;1613151.54;"Returned";"6";"13/11/2023";"2023-11-07";"2023-11-13";1;"No"
"ORD000048";"2025-01-11";"C00687";"P0476";"W016";"S0055";257;20468.77;19082.53;5260473.89;4904210.21;356263.68;"Delayed";"31";"11/02/2025";"2025-01-11";"2025-02-11";1;"No"
"ORD000049";"10/09/2024";"C02417";"P0228";"W032";"S0063";1;23277.45;19770.72;23277.45;19770.72;3506.73;"Delayed";"55";"04-11-2024";"2024-09-10";"2024-11-04";1;"No"
"ORD000050";"18/08/2024";"C00503";"P0064";"W030";"S0007";285;16001.12;13024.62;4560319.2;3712016.7;848302.5;"Cancelled";"4";"2024-08-22";"2024-08-18";"2024-08-22";1;"No"
"ORD000051";"2024-01-27";"C01885";"P0312";"W037";"S0070";423;1013.78;776.51;428828.94;328463.73;100365.21;"Completed";"153";"28/06/2024";"2024-01-27";"2024-06-28";1;"No"
"ORD000052";"10-03-2023";"C02369";"P0251";"W050";"S0061";279;29889.25;17106.7;8339100.75;4772769.3;3566331.45;"Completed";"4";"14/03/2023";"2023-03-10";"2023-03-14";1;"No"
"ORD000053";"18-05-2025";"C00187";"P0228";"W032";"S0015";206;17679.38;15395.62;3641952.28;3171497.72;470454.56;"Delayed";"";"15/07/2025";"2025-05-18";"2025-07-15";1;"No"
"ORD000054";"19-07-2025";"C00305";"P0066";"W018";"S0049";69;10759.22;6868.3;742386.18;473912.7;268473.48;"Completed";"3";"2025-07-22";"2025-07-19";"2025-07-22";1;"No"
"ORD000055";"2023-04-07";"C01966";"P0310";"W046";"S0146";240;15528.88;11693.25;3726931.2;2806380.0;920551.2;"Completed";"4";"11/04/2023";"2023-04-07";"2023-04-11";1;"No"
"ORD000056";"27-04-2025";"C02721";"P0227";"W004";"S0117";394;3174.65;2133.99;1250812.1;840792.06;410020.04;"Completed";"6";"2025-05-03";"2025-04-27";"2025-05-03";1;"No"
"ORD000057";"12/04/2024";"";"P0412";"W027";"S0061";187;21875.8;17590.27;4090774.6;3289380.49;801394.11;"Completed";"1";"2024-04-13";"2024-04-12";"2024-04-13";1;"No"
"ORD000058";"22-08-2025";"C00363";"P0415";"W009";"S0033";303;35391.72;22297.93;10723691.16;6756272.79;3967418.37;"Completed";"";"2025-08-29";"2025-08-22";"2025-08-29";1;"No"
"ORD000059";"06/02/2024";"";"P0408";"W037";"S0038";411;13229.51;9087.75;5437328.61;3735065.25;1702263.36;"Completed";"4";"10-02-2024";"2024-02-06";"2024-02-10";1;"No"
"ORD000060";"13-11-2024";"C00741";"P0415";"W024";"S0082";317;19746.01;12769.96;6259485.17;4048077.32;2211407.85;"Delayed";"55";"2025-01-07";"2024-11-13";"2025-01-07";1;"No"
"ORD000061";"2024-07-27";"C01844";"P0147";"W013";"S0131";474;26062.56;16447.64;12353653.44;7796181.36;4557472.08;"Completed";"7";"";"2024-07-27";"";1;"Yes"
"ORD000062";"07-02-2023";"C02102";"P0352";"W020";"";174;10343.57;6410.82;1799781.18;1115482.68;684298.5;"Completed";"";"12/02/2023";"2023-02-07";"2023-02-12";1;"No"
"ORD000063";"26/07/2024";"C00245";"P0442";"W007";"S0029";255;13045.53;8893.08;3326610.15;2267735.4;1058874.75;"Delayed";"";"21/09/2024";"2024-07-26";"2024-09-21";1;"No"
"ORD000065";"2025-06-10";"C01705";"P0056";"W012";"S0025";498;38785.21;30993.78;19315034.58;15434902.44;3880132.14;"Completed";"4";"14-06-2025";"2025-06-10";"2025-06-14";1;"No"
"ORD000066";"2025-10-18";"C00927";"P0076";"W043";"S0042";22;26201.45;19481.87;576431.9;428601.14;147830.76;"Completed";"1";"2025-10-19";"2025-10-18";"2025-10-19";1;"No"
"ORD000067";"03/03/2025";"C02805";"P0433";"W049";"S0060";153;39802.47;33725.39;6089777.91;5159984.67;929793.24;"Completed";"5";"08-03-2025";"2025-03-03";"2025-03-08";1;"No"
"ORD000068";"2026-02-08";"C02712";"P0199";"W008";"S0116";402;39814.43;28759.91;16005400.86;11561483.82;4443917.04;"Cancelled";"7";"18/02/2023";"2026-02-08";"2023-02-18";1;"No"
"ORD000069";"2023-04-19";"";"P0064";"W012";"";283;43175.65;31368.78;12218708.95;8877364.74;3341344.21;"Completed";"5";"24/04/2023";"2023-04-19";"2023-04-24";1;"No"
"ORD000070";"2024-11-11";"C00714";"P0473";"W008";"S0109";127;12485.96;7360.08;1585716.92;934730.16;650986.76;"Cancelled";"3";"2024-11-14";"2024-11-11";"2024-11-14";1;"No"
"ORD000072";"09-01-2023";"C01414";"P0210";"W008";"S0007";186;44275.21;36283.16;8235189.06;6748667.76;1486521.3;"Completed";"3";"12-01-2023";"2023-01-09";"2023-01-12";1;"No"
"ORD000073";"30-11-2023";"";"P0377";"W046";"S0124";42;45371.94;29216.68;1905621.48;1227100.56;678520.92;"Completed";"2";"02-12-2023";"2023-11-30";"2023-12-02";1;"No"
"ORD000074";"25/01/2023";"C02050";"P0478";"W029";"S0015";113;37930.43;26886.64;4286138.59;3038190.32;1247948.27;"Delayed";"46";"12/03/2023";"2023-01-25";"2023-03-12";1;"No"
"ORD000075";"13-09-2024";"C02420";"P0038";"W021";"";67;46646.32;37186.69;3125303.44;2491508.23;633795.21;"Delayed";"49";"01-11-2024";"2024-09-13";"2024-11-01";1;"No"
"ORD000076";"2024-05-04";"C01589";"P0230";"W018";"S0058";198;5809.4;4223.78;1150261.2;836308.44;313952.76;"Completed";"4";"2024-05-08";"2024-05-04";"2024-05-08";1;"No"
"ORD000077";"2024-09-27";"C01936";"P0167";"W049";"S0061";483;42147.44;24340.66;20357213.52;11756538.78;8600674.74;"Completed";"6";"03-10-2024";"2024-09-27";"2024-10-03";1;"No"
"ORD000078";"02/04/2023";"";"P0117";"W050";"S0001";116;29028.2;22697.74;3367271.2;2632937.84;734333.36;"Cancelled";"3";"05/04/2023";"2023-04-02";"2023-04-05";1;"No"
"ORD000079";"10/09/2024";"C00081";"P0278";"W022";"S0075";144;42946.32;30721.24;6184270.08;4423858.56;1760411.52;"Delayed";"28";"08/10/2024";"2024-09-10";"2024-10-08";1;"No"
"ORD000080";"29/11/2023";"C00431";"P0248";"W007";"";27;38983.55;27932.87;1052555.85;754187.49;298368.36;"Returned";"6";"2023-12-05";"2023-11-29";"2023-12-05";1;"No"
"ORD000081";"18-09-2025";"C00622";"P0489";"W011";"S0100";295;15368.34;11836.23;4533660.3;3491687.85;1041972.45;"Cancelled";"4";"22/09/2025";"2025-09-18";"2025-09-22";1;"No"
"ORD000082";"06/03/2024";"C01429";"P0152";"W048";"S0107";260;47166.5;31973.22;12263290.0;8313037.2;3950252.8;"Completed";"5";"11-03-2024";"2024-03-06";"2024-03-11";1;"No"
"ORD000083";"24/01/2023";"C01952";"P0432";"W003";"S0114";223;29527.13;20994.27;6584549.99;4681722.21;1902827.78;"Delayed";"41";"06-03-2023";"2023-01-24";"2023-03-06";1;"No"
"ORD000084";"21/06/2025";"";"P0456";"W012";"S0114";234;18760.53;17515.73;4389964.02;4098680.82;291283.2;"Completed";"7";"28/06/2025";"2025-06-21";"2025-06-28";1;"No"
"ORD000085";"23-05-2023";"C01667";"P0344";"W035";"S0043";403;47320.31;30582.37;19070084.93;12324695.11;6745389.82;"Completed";"5";"2023-05-28";"2023-05-23";"2023-05-28";1;"No"
"ORD000086";"11/08/2024";"C00093";"P0104";"W026";"S0008";84;34236.32;21893.23;2875850.88;1839031.32;1036819.56;"Completed";"";"16/08/2024";"2024-08-11";"2024-08-16";1;"No"
"ORD000087";"12/02/2025";"C00576";"P0290";"W039";"S0079";499;11366.96;6628.62;5672113.04;3307681.38;2364431.66;"Completed";"2";"14/02/2025";"2025-02-12";"2025-02-14";1;"No"
"ORD000089";"2024-05-17";"C00027";"P0055";"W021";"S0064";60;31605.97;20358.43;1896358.2;1221505.8;674852.4;"Completed";"2";"19-05-2024";"2024-05-17";"2024-05-19";1;"No"
"ORD000090";"28-06-2025";"C01830";"P0211";"W035";"S0102";390;48532.62;39017.05;18927721.8;15216649.5;3711072.3;"Completed";"7";"";"2025-06-28";"";1;"Yes"
"ORD000091";"2023-02-26";"C02938";"P0348";"W021";"S0144";93;36119.23;20574.16;3359088.39;1913396.88;1445691.51;"Completed";"1";"27-02-2023";"2023-02-26";"2023-02-27";1;"No"
"ORD000092";"2025-04-01";"C02036";"P0494";"W013";"S0020";213;47573.45;30433.96;10133144.85;6482433.48;3650711.37;"Completed";"4";"05-04-2025";"2025-04-01";"2025-04-05";1;"No"
"ORD000093";"30/05/2024";"C00471";"P0411";"W028";"S0003";81;28390.83;17917.98;2299657.23;1451356.38;848300.85;"Returned";"4";"";"2024-05-30";"";1;"Yes"
"ORD000095";"23/11/2023";"C00564";"P0375";"W043";"";361;231.14;152.72;83441.54;55131.92;28309.62;"Completed";"3";"26-11-2023";"2023-11-23";"2023-11-26";1;"No"
"ORD000096";"24-04-2023";"C02340";"P0445";"W029";"S0065";455;20781.87;12473.73;9455750.85;5675547.15;3780203.7;"Cancelled";"7";"01-05-2023";"2023-04-24";"2023-05-01";1;"No"
"ORD000097";"2024-07-18";"C00055";"P0088";"W037";"S0096";423;43392.67;34310.71;18355099.41;14513430.33;3841669.08;"Delayed";"";"2024-08-20";"2024-07-18";"2024-08-20";1;"No"
"ORD000098";"05/11/2025";"C01825";"P0488";"W039";"S0040";253;11933.49;8685.72;3019172.97;2197487.16;821685.81;"Cancelled";"1";"06/11/2025";"2025-11-05";"2025-11-06";1;"No"
"ORD000099";"2026-02-16";"";"P0069";"W037";"S0111";206;13431.16;9194.11;2766818.96;1893986.66;872832.3;"Cancelled";"5";"19-04-2024";"2026-02-16";"2024-04-19";1;"No"
"ORD000100";"2025-10-13";"C02965";"P0312";"W047";"S0091";434;33482.01;31436.81;14531192.34;13643575.54;887616.8;"Completed";"2";"15-10-2025";"2025-10-13";"2025-10-15";1;"No"
"ORD000102";"2025-01-31";"C01370";"P0469";"W030";"S0078";166;3912.4;2398.59;649458.4;398165.94;251292.46;"Completed";"";"01/02/2025";"2025-01-31";"2025-02-01";1;"No"
"ORD000103";"15-08-2023";"C02119";"P0406";"W035";"S0061";494;9216.75;6686.61;4553074.5;3303185.34;1249889.16;"Completed";"4";"2023-08-19";"2023-08-15";"2023-08-19";1;"No"
"ORD000104";"24-05-2023";"C01967";"P0092";"W011";"S0067";154;47625.86;26806.76;7334382.44;4128241.04;3206141.4;"Cancelled";"2";"26/05/2023";"2023-05-24";"2023-05-26";1;"No"
"ORD000105";"31/08/2024";"C01952";"P0098";"W008";"S0087";326;31501.75;25609.56;10269570.5;8348716.56;1920853.94;"Returned";"5";"05/09/2024";"2024-08-31";"2024-09-05";1;"No"
"ORD000106";"2025-04-11";"C02188";"P0386";"W042";"S0005";365;11178.88;8301.31;4080291.2;3029978.15;1050313.05;"Completed";"2";"13/04/2025";"2025-04-11";"2025-04-13";1;"No"
"ORD000107";"30/08/2024";"C01452";"P0065";"W031";"S0059";151;43213.99;24441.68;6525312.49;3690693.68;2834618.81;"Cancelled";"5";"04-09-2024";"2024-08-30";"2024-09-04";1;"No"
"ORD000108";"2025-09-05";"C00905";"P0213";"W027";"S0060";66;8431.24;6721.58;556461.84;443624.28;112837.56;"Completed";"2";"2025-09-07";"2025-09-05";"2025-09-07";1;"No"
"ORD000109";"2023-04-19";"C02912";"P0305";"W008";"";390;47875.38;27806.93;18671398.2;10844702.7;7826695.5;"Completed";"1";"2023-04-20";"2023-04-19";"2023-04-20";1;"No"
"ORD000110";"02-01-2026";"";"P0420";"W018";"S0033";94;45576.56;38582.84;4284196.64;3626786.96;657409.68;"Completed";"5";"2024-01-18";"2026-01-02";"2024-01-18";1;"No"
"ORD000111";"01-04-2024";"C02526";"P0112";"W027";"";169;49253.37;41414.26;8323819.53;6999009.94;1324809.59;"Completed";"5";"06/04/2024";"2024-04-01";"2024-04-06";1;"No"
"ORD000112";"2025-09-12";"C01234";"P0404";"W030";"S0061";245;4166.88;3370.32;1020885.6;825728.4;195157.2;"Completed";"2";"14-09-2025";"2025-09-12";"2025-09-14";1;"No"
"ORD000114";"13/07/2025";"C02019";"P0258";"W039";"S0037";251;36890.41;30251.82;9259492.91;7593206.82;1666286.09;"Delayed";"33";"15-08-2025";"2025-07-13";"2025-08-15";1;"No"
"ORD000115";"06-05-2023";"C02407";"P0377";"W002";"S0071";222;18216.05;11016.48;4043963.1;2445658.56;1598304.54;"Completed";"2";"08/05/2023";"2023-05-06";"2023-05-08";1;"No"
"ORD000116";"2024-10-16";"C01871";"P0438";"W013";"";109;33609.85;20298.65;3663473.65;2212552.85;1450920.8;"Completed";"";"";"2024-10-16";"";1;"Yes"
"ORD000117";"2025-11-12";"C01271";"P0051";"W007";"S0046";457;1033.71;782.97;472405.47;357817.29;114588.18;"Completed";"7";"19/11/2025";"2025-11-12";"2025-11-19";1;"No"
"ORD000118";"2023-11-09";"C00184";"P0151";"W021";"S0019";389;12712.23;8855.13;4945057.47;3444645.57;1500411.9;"Completed";"7";"16/11/2023";"2023-11-09";"2023-11-16";1;"No"
"ORD000120";"13/07/2024";"C00359";"P0078";"W009";"S0083";78;40900.09;27810.37;3190207.02;2169208.86;1020998.16;"Completed";"1";"14/07/2024";"2024-07-13";"2024-07-14";1;"No"
"ORD000121";"21/04/2024";"C01431";"P0262";"W046";"S0058";411;47071.95;30207.11;19346571.45;12415122.21;6931449.24;"Completed";"2";"2024-04-23";"2024-04-21";"2024-04-23";1;"No"
"ORD000122";"27/09/2024";"C02033";"P0313";"W008";"";493;38116.48;35168.07;18791424.64;17337858.51;1453566.13;"Completed";"3";"30/09/2024";"2024-09-27";"2024-09-30";1;"No"
"ORD000123";"04-06-2025";"C00550";"P0409";"W005";"S0138";119;25770.81;17786.03;3066726.39;2116537.57;950188.82;"Completed";"1";"";"2025-06-04";"";1;"Yes"
"ORD000124";"16/01/2025";"C00225";"P0457";"W021";"S0144";486;11910.45;10688.8;5788478.7;5194756.8;593721.9;"Completed";"4";"2025-01-20";"2025-01-16";"2025-01-20";1;"No"
"ORD000125";"28/02/2025";"C02070";"P0257";"W003";"S0010";415;32623.95;23219.82;13538939.25;9636225.3;3902713.95;"Completed";"2";"2025-03-02";"2025-02-28";"2025-03-02";1;"No"
"ORD000126";"12-08-2023";"C02052";"P0023";"W036";"S0026";41;38276.26;29968.81;1569326.66;1228721.21;340605.45;"Completed";"2";"14-08-2023";"2023-08-12";"2023-08-14";1;"No"
"ORD000127";"29/02/2024";"C02195";"P0020";"W047";"S0091";144;44796.77;30794.31;6450734.88;4434380.64;2016354.24;"Completed";"5";"05-03-2024";"2024-02-29";"2024-03-05";1;"No"
"ORD000128";"01/07/2023";"C02197";"P0271";"W049";"";419;46633.2;26936.01;19539310.8;11286188.19;8253122.61;"Completed";"1";"02-07-2023";"2023-07-01";"2023-07-02";1;"No"
"ORD000129";"2025-02-17";"";"P0246";"W019";"";91;650.97;371.25;59238.27;33783.75;25454.52;"Completed";"1";"";"2025-02-17";"";1;"Yes"
"ORD000130";"13-11-2023";"C00204";"P0324";"W050";"S0103";99;17617.66;14744.45;1744148.34;1459700.55;284447.79;"Completed";"6";"2023-11-19";"2023-11-13";"2023-11-19";1;"No"
"ORD000131";"27-06-2025";"C01687";"P0488";"W030";"";453;29940.83;20912.94;13563195.99;9473561.82;4089634.17;"Completed";"";"2025-06-30";"2025-06-27";"2025-06-30";1;"No"
"ORD000132";"16/06/2024";"C00414";"P0199";"W006";"S0109";247;1814.16;1407.95;448097.52;347763.65;100333.87;"Cancelled";"4";"20/06/2024";"2024-06-16";"2024-06-20";1;"No"
"ORD000133";"15-09-2024";"C02564";"P0182";"W042";"S0113";221;33458.32;21137.56;7394288.72;4671400.76;2722887.96;"Completed";"";"";"2024-09-15";"";1;"Yes"
"ORD000134";"05/03/2024";"C01954";"P0302";"W031";"S0062";478;36001.97;32262.05;17208941.66;15421259.9;1787681.76;"Delayed";"36";"10-04-2024";"2024-03-05";"2024-04-10";1;"No"
"ORD000135";"07-02-2023";"C02758";"P0347";"W010";"S0004";103;24781.7;18019.18;2552515.1;1855975.54;696539.56;"Cancelled";"7";"14/02/2023";"2023-02-07";"2023-02-14";1;"No"
"ORD000136";"31/07/2023";"C00129";"P0074";"W033";"S0010";135;6967.86;5574.43;940661.1;752548.05;188113.05;"Completed";"1";"01-08-2023";"2023-07-31";"2023-08-01";1;"No"
"ORD000137";"2024-03-03";"C01019";"P0291";"W034";"S0057";434;31573.32;27002.75;13702820.88;11719193.5;1983627.38;"Completed";"4";"07/03/2024";"2024-03-03";"2024-03-07";1;"No"
"ORD000138";"02-05-2023";"C00436";"P0015";"W029";"S0146";16;14587.93;12032.88;233406.88;192526.08;40880.8;"Completed";"2";"04/05/2023";"2023-05-02";"2023-05-04";1;"No"
"ORD000139";"2025-04-25";"C01380";"P0161";"W010";"S0116";139;19404.92;14460.67;2697283.88;2010033.13;687250.75;"Completed";"1";"2025-04-26";"2025-04-25";"2025-04-26";1;"No"
"ORD000140";"01/11/2024";"C00756";"P0324";"W024";"S0021";207;8338.38;7088.25;1726044.66;1467267.75;258776.91;"Returned";"295";"2025-08-23";"2024-11-01";"2025-08-23";1;"No"
"ORD000141";"2025-01-25";"C00285";"P0266";"W027";"";289;41311.99;37556.09;11939165.11;10853710.01;1085455.1;"Completed";"7";"01/02/2025";"2025-01-25";"2025-02-01";1;"No"
"ORD000142";"02-06-2025";"C00138";"P0023";"W038";"S0143";364;5782.19;5077.47;2104717.16;1848199.08;256518.08;"Completed";"5";"07-06-2025";"2025-06-02";"2025-06-07";1;"No"
"ORD000143";"20/02/2025";"C00637";"P0410";"W001";"S0038";100;16352.93;12437.15;1635293.0;1243715.0;391578.0;"Returned";"7";"27/02/2025";"2025-02-20";"2025-02-27";1;"No"
"ORD000144";"24/11/2023";"C01230";"P0410";"W024";"S0011";133;7501.3;5515.88;997672.9;733612.04;264060.86;"Completed";"1";"2023-11-25";"2023-11-24";"2023-11-25";1;"No"
