supplier_id,supplier_name,supplier_city,supplier_state,supplier_rating,contract_start_date,on_time_delivery_rate,quality_score,supplier_status
S0030,Supplier_0030 Pvt Ltd,Chandigarh,Punjab,2.5,2020-08-13,0.76,84.9,Active
S0031,Supplier_0031 Ltd,Surat,Gujarat,,2022-09-16,0.82,84.4,Active
S0032,Supplier_0032 Pvt Ltd,Hyderabad,Telangana,2.3,2019-07-22,0.86,95.7,Active
S0033,Supplier_0033 Ltd,Hyderabad,Telangana,4.1,2022-07-02,0.7,72.8,Active
S0034,Supplier_0034 Pvt Ltd,Bangalore,Karnataka,5.0,2020-03-06,0.79,99.8,Active
S0035,Supplier_0035 Ltd,Chennai,Tamil Nadu,1.9,2023-01-31,0.68,72.0,Active
S0036,Supplier_0036 Ltd,Bengaluru,Karnataka,2.9,2021-02-18,0.59,87.2,Active
S0037,Supplier_0037 Pvt Ltd,Pune,Maharashtra,1.9,2022-12-22,0.63,71.8,Active
S0038,Supplier_0038 Ltd,NEW DELHI,Delhi,,2021-06-25,0.94,80.0,Active
S0039,Supplier_0039 Pvt Ltd,Lucknow,Uttar Pradesh,2.7,2019-02-15,0.99,95.7,Active
S0040,Supplier_0040 Pvt Ltd,Kolkata,West Bengal,3.9,2021-07-16,0.66,62.3,Active
S0041,Supplier_0041 Pvt Ltd,Kolkata,West Bengal,4.1,2022-05-28,0.54,84.6,Active
S0042,Supplier_0042 Pvt Ltd,Lucknow,Uttar Pradesh,4.9,2019-02-13,0.98,95.7,Active
S0043,Supplier_0043 Ltd,Jaipur,Rajasthan,,2019-04-09,0.67,65.2,Inactive
S0044,Supplier_0044 Pvt Ltd,Ahmedabad,Gujarat,4.3,2022-01-30,0.76,77.3,Active
S0045,Supplier_0045 Pvt Ltd,Lucknow,Uttar Pradesh,4.6,2023-04-26,0.91,60.8,Active
S0046,Supplier_0046 Pvt Ltd,Chennai,Tamil Nadu,1.1,2021-12-27,0.52,95.1,Active
S0047,Supplier_0047 Ltd,Hyderabad,Telangana,1.2,2018-04-09,0.71,75.2,Inactive
S0048,Supplier_0048 Ltd,Jaipur,Rajasthan,1.6,2019-09-09,0.55,80.8,Active
S0049,Supplier_0049 Ltd,Surat,Gujarat,4.6,2019-08-02,0.55,67.9,Active
S0050,Supplier_0050 Pvt Ltd,Chennai,Tamil Nadu,4.9,2018-11-25,,79.9,Active
S0051,Supplier_0051 Ltd,Chennai,Tamil Nadu,1.0,2022-09-07,0.75,98.0,Active
S0052,Supplier_0052 Pvt Ltd,Jaipur,Rajasthan,1.4,2019-08-30,0.53,92.5,Active
S0053,Supplier_0053 Pvt Ltd,MUMBAI,Maharashtra,3.7,2022-10-10,0.52,94.1,Active
S0054,Supplier_0054 Pvt Ltd,Lucknow,Uttar Pradesh,4.6,2022-02-10,0.91,67.3,Active
S0055,Supplier_0055 Ltd,Ahmedabad,Gujarat,2.1,2022-06-27,0.94,66.7,Active
S0056,Supplier_0056 Ltd,Bangalore,Karnataka,4.4,2020-09-15,0.84,67.3,Inactive
S0057,Supplier_0057 Ltd,Ahmedabad,Gujarat,4.5,2023-01-01,0.96,64.5,Active
S0058,Supplier_0058 Pvt Ltd,Ahmedabad,Gujarat,,2021-12-13,0.76,89.7,Active
S0059,Supplier_0059 Ltd,Chandigarh,Punjab,3.7,2021-12-05,0.72,89.1,Active
S0060,Supplier_0060 Ltd,Kolkata,West Bengal,3.6,2023-01-01,0.53,85.7,Active
S0061,Supplier_0061 Pvt Ltd,BANGALORE,Karnataka,4.5,2019-05-09,0.64,80.3,Inactive
S0062,Supplier_0062 Ltd,Jaipur,Rajasthan,1.9,2020-07-06,0.75,72.6,Active
S0063,Supplier_0063 Pvt Ltd,Kolkata,West Bengal,2.6,2018-07-06,0.98,85.5,Active
S0064,Supplier_0064 Ltd,Jaipur,Rajasthan,2.8,2022-07-31,0.73,82.4,Active
S0065,Supplier_0065 Pvt Ltd,Surat,Gujarat,2.5,2021-09-11,0.67,93.2,Active
S0066,Supplier_0066 Pvt Ltd,Hyderabad,Telangana,1.2,2022-01-08,0.7,70.2,Active
S0067,Supplier_0067 Ltd,Chennai,Tamil Nadu,4.4,2019-01-26,0.55,76.6,Active
S0068,Supplier_0068 Ltd,Lucknow,Uttar Pradesh,2.8,2018-10-03,0.5,89.4,Active
S0069,Supplier_0069 Ltd,Jaipur,Rajasthan,2.9,2018-12-29,0.59,92.6,Active
S0070,Supplier_0070 Ltd,NEW DELHI,Delhi,3.4,2020-05-07,0.96,90.5,Active
S0071,Supplier_0071 Pvt Ltd,Hyderabad,Telangana,4.9,2020-04-25,0.94,80.5,Active
S0072,Supplier_0072 Pvt Ltd,Chandigarh,Punjab,4.7,2021-07-02,0.84,96.8,Active
S0073,Supplier_0073 Pvt Ltd,Bengaluru,Karnataka,3.8,2019-12-23,0.79,97.7,Active
S0074,Supplier_0074 Ltd,Chandigarh,Punjab,4.6,2020-05-15,0.76,61.0,Active
S0075,Supplier_0075 Pvt Ltd,Bangalore,Karnataka,1.8,2019-08-10,0.57,62.5,Active
S0076,Supplier_0076 Pvt Ltd,Hyderabad,Telangana,1.1,2022-11-13,0.78,69.0,Active
S0077,Supplier_0077 Pvt Ltd,Lucknow,Uttar Pradesh,4.1,2021-09-22,,75.3,Active
S0078,Supplier_0078 Pvt Ltd,Ahmedabad,Gujarat,1.2,2022-11-15,0.94,93.2,Active
S0079,Supplier_0079 Ltd,Lucknow,Uttar Pradesh,3.2,2023-05-29,0.72,99.3,Active
S0080,Supplier_0080 Pvt Ltd,delhi,Delhi,3.9,2019-07-26,0.57,83.4,Inactive
S0081,Supplier_0081 Pvt Ltd,Hyderabad,Telangana,3.8,2019-10-23,0.89,85.0,Active
S0082,Supplier_0082 Ltd,Lucknow,Uttar Pradesh,3.3,2019-10-13,0.98,80.8,Active
S0083,Supplier_0083 Pvt Ltd,Jaipur,Rajasthan,3.1,2019-03-13,0.67,71.7,Inactive
S0084,Supplier_0084 Pvt Ltd,Surat,Gujarat,4.3,2021-10-01,0.62,85.7,Active
S0085,Supplier_0085 Ltd,Surat,Gujarat,3.7,2023-04-20,0.63,89.0,Active
S0086,Supplier_0086 Pvt Ltd,MUMBAI,Maharashtra,3.0,2021-08-27,0.76,97.9,Active
S0087,Supplier_0087 Pvt Ltd,Bangalore,Karnataka,1.8,2021-11-04,0.55,81.5,Active
S0088,Supplier_0088 Pvt Ltd,Chandigarh,Punjab,4.8,2020-07-29,0.52,62.9,Active
S0089,Supplier_0089 Pvt Ltd,bangalore,Karnataka,3.3,2020-03-05,0.7,72.7,Active
S0090,Supplier_0090 Ltd,Ahmedabad,Gujarat,3.6,2021-04-14,,93.9,Active
S0091,Supplier_0091 Pvt Ltd,Pune,Maharashtra,3.7,2023-03-13,0.7,86.4,Active
S0092,Supplier_0092 Ltd,Kolkata,West Bengal,1.5,2021-01-22,0.82,71.9,Active
S0093,Supplier_0093 Pvt Ltd,Chandigarh,Punjab,1.0,2018-03-27,,83.9,Active
S0094,Supplier_0094 Pvt Ltd,Jaipur,Rajasthan,4.0,2020-04-25,0.93,65.7,Active
S0095,Supplier_0095 Ltd,Bengaluru,Karnataka,2.0,2021-03-07,0.93,97.3,Inactive
S0096,Supplier_0096 Pvt Ltd,Jaipur,Rajasthan,1.3,2019-02-09,0.74,73.2,Active
S0097,Supplier_0097 Pvt Ltd,Bengaluru,Karnataka,3.5,2020-07-11,0.83,87.7,Active
S0098,Supplier_0098 Pvt Ltd,bangalore,Karnataka,4.8,2022-05-29,0.87,77.4,Active
S0099,Supplier_0099 Pvt Ltd,Pune,Maharashtra,2.3,2022-05-06,0.78,67.0,Active
S0100,Supplier_0100 Ltd,Surat,Gujarat,4.4,2019-06-24,0.81,89.1,Active
S0101,Supplier_0101 Pvt Ltd,Mumbai,Maharashtra,3.3,2018-03-17,0.77,99.9,Active
S0102,Supplier_0102 Ltd,Kolkata,West Bengal,1.9,2019-08-19,0.75,63.6,Active
S0103,Supplier_0103 Ltd,Pune,Maharashtra,4.4,2018-12-06,0.57,66.4,Active
S0104,Supplier_0104 Pvt Ltd,Surat,Gujarat,2.9,2020-09-25,0.63,69.4,Active
S0105,Supplier_0105 Ltd,Lucknow,Uttar Pradesh,4.2,2022-12-11,,99.2,Active
S0106,Supplier_0106 Ltd,Pune,Maharashtra,3.1,2019-06-24,0.79,75.1,Active
S0107,Supplier_0107 Pvt Ltd,Ahmedabad,Gujarat,4.6,2023-02-02,0.7,92.7,Inactive
S0108,Supplier_0108 Ltd,Pune,Maharashtra,4.5,2020-06-19,0.54,85.7,Inactive
S0109,Supplier_0109 Pvt Ltd,Chennai,Tamil Nadu,2.4,2019-04-17,0.67,64.5,Active
S0110,Supplier_0110 Pvt Ltd,Lucknow,Uttar Pradesh,3.4,2019-05-15,,82.9,Active
S0111,Supplier_0111 Pvt Ltd,Bengaluru,Karnataka,1.2,2019-06-13,0.76,76.2,Active
S0112,Supplier_0112 Ltd,Surat,Gujarat,3.9,2019-03-20,1.0,94.7,Active
S0113,Supplier_0113 Ltd,Bengaluru,Karnataka,3.4,2019-01-08,0.76,66.7,Active
S0114,Supplier_0114 Pvt Ltd,Lucknow,Uttar Pradesh,3.4,2018-09-28,0.6,94.4,Inactive
S0115,Supplier_0115 Ltd,Jaipur,Rajasthan,3.4,2021-05-13,,91.4,Active
S0116,Supplier_0116 Ltd,Jaipur,Rajasthan,3.6,2018-01-03,0.89,86.0,Active
S0117,Supplier_0117 Pvt Ltd,Jaipur,Rajasthan,1.2,2022-07-02,0.88,74.0,Active
S0118,Supplier_0118 Ltd,Chandigarh,Punjab,2.0,2018-06-21,0.94,76.3,Active
S0119,Supplier_0119 Pvt Ltd,Chennai,Tamil Nadu,4.2,2018-01-15,0.6,92.2,Active
S0120,Supplier_0120 Pvt Ltd,Ahmedabad,Gujarat,2.7,2021-01-02,0.68,71.0,Active
S0121,Supplier_0121 Pvt Ltd,Lucknow,Uttar Pradesh,2.7,2020-01-29,0.74,99.5,Active
S0122,Supplier_0122 Ltd,Surat,Gujarat,2.6,2018-09-01,0.72,88.0,Active
S0123,Supplier_0123 Ltd,Bangalore,Karnataka,2.6,2021-11-28,0.53,75.6,Active
S0124,Supplier_0124 Ltd,Lucknow,Uttar Pradesh,4.3,2018-06-30,0.61,63.2,Active
S0125,Supplier_0125 Pvt Ltd,Bombay,Maharashtra,2.6,2023-05-28,0.97,92.8,Active
S0126,Supplier_0126 Ltd,Lucknow,Uttar Pradesh,1.8,2019-08-09,0.89,80.4,Active
S0127,Supplier_0127 Ltd,Chandigarh,Punjab,3.7,2018-11-19,0.64,76.0,Active
S0128,Supplier_0128 Ltd,Lucknow,Uttar Pradesh,1.8,2023-02-26,0.64,93.2,Inactive
S0129,Supplier_0129 Ltd,Surat,Gujarat,4.3,2020-07-20,0.79,70.4,Active
S0130,Supplier_0130 Pvt Ltd,Ahmedabad,Gujarat,3.0,2020-11-17,0.94,92.5,Active
S0131,Supplier_0131 Ltd,Surat,Gujarat,4.9,2022-04-01,0.89,87.3,Active
S0132,Supplier_0132 Ltd,Surat,Gujarat,2.0,2019-03-28,0.61,72.6,Active
S0133,Supplier_0133 Pvt Ltd,Pune,Maharashtra,2.1,2022-03-14,0.54,97.3,Active
S0134,Supplier_0134 Ltd,Kolkata,West Bengal,4.6,2021-10-31,0.6,89.5,Active
S0135,Supplier_0135 Pvt Ltd,Chennai,Tamil Nadu,1.8,2021-06-20,0.89,64.8,Active
S0136,Supplier_0136 Pvt Ltd,NEW DELHI,Delhi,4.1,2020-09-14,0.66,95.9,Active
S0137,Supplier_0137 Pvt Ltd,Surat,Gujarat,4.9,2019-03-31,0.56,81.0,Active
S0138,Supplier_0138 Ltd,Ahmedabad,Gujarat,1.1,2022-05-09,0.99,87.9,Active
S0139,Supplier_0139 Ltd,Kolkata,West Bengal,1.0,2019-10-29,0.93,67.5,Active
S0140,Supplier_0140 Pvt Ltd,Hyderabad,Telangana,4.8,2020-05-18,0.85,74.9,Active
S0141,Supplier_0141 Ltd,Ahmedabad,Gujarat,3.3,2022-07-26,0.63,69.4,Active
S0142,Supplier_0142 Pvt Ltd,Ahmedabad,Gujarat,4.2,2018-01-20,0.75,99.8,Active
S0143,Supplier_0143 Ltd,Lucknow,Uttar Pradesh,2.2,2020-03-26,0.58,68.6,Active
S0144,Supplier_0144 Pvt Ltd,Hyderabad,Telangana,1.4,2020-01-08,0.97,70.3,Active
S0145,Supplier_0145 Pvt Ltd,Bombay,Maharashtra,4.5,2021-03-25,0.77,99.2,Active
S0146,Supplier_0146 Pvt Ltd,Hyderabad,Telangana,3.0,2018-06-10,0.64,85.3,Active
S0147,Supplier_0147 Ltd,Bengaluru,Karnataka,4.7,2020-04-08,0.54,66.5,Active
S0148,Supplier_0148 Ltd,Chennai,Tamil Nadu,2.2,2019-07-10,0.89,97.6,Active
S0149,Supplier_0149 Ltd,Chandigarh,Punjab,1.7,2021-09-17,0.87,90.0,Inactive
S0150,Supplier_0150 Pvt Ltd,Chennai,Tamil Nadu,1.4,2018-04-21,,75.9,Active
