"inventory_id";"snapshot_date";"warehouse_id";"product_id";"stock_on_hand";"reorder_point";"safety_stock";"inventory_value";"days_of_inventory";"snapshot_date_clean"
"INV000036";"2025-08-02";"W024";"P0433";"";180;110;74221.36;0.7;"2025-08-02"
"INV000037";"2025-12-17";"W032";"P0363";"222";188;101;10869314.03;127.1;"2025-12-17"
"INV000038";"2023-08-29";"W025";"P0436";"358";97;64;15548195.31;74.3;"2023-08-29"
"INV000040";"2024-12-03";"W038";"P0452";"845";71;34;11605250.29;43.9;"2024-12-03"
"INV000041";"2024-05-09";"W033";"P0269";"12";67;42;143684.05;0.6;"2024-05-09"
"INV000042";"2023-06-15";"W022";"P0328";"400";148;86;19342564.66;55.5;"2023-06-15"
"INV000043";"2025-07-30";"W050";"P0298";"261";63;30;8146817.35;20.6;"2025-07-30"
"INV000044";"2023-06-15";"W024";"P0046";"687";87;58;15949426.28;72.9;"2023-06-15"
"INV000045";"2024-12-25";"W048";"P0414";"371";17;5;7734848.97;37.2;"2024-12-25"
"INV000046";"2024-05-10";"W043";"P0078";"79";187;112;1716969.31;7.6;"2024-05-10"
"INV000047";"2023-02-07";"W035";"P0215";"956";139;64;28403030.82;58.4;"2023-02-07"
"INV000048";"2024-09-30";"W010";"P0100";"13";58;39;594126.85;1.2;"2024-09-30"
"INV000049";"2023-04-01";"W030";"P0142";"677";170;51;30850869.84;566.6;"2023-04-01"
"INV000050";"2023-11-06";"W048";"P0136";"";151;91;274267765.85;880.9;"2023-11-06"
"INV000051";"2023-06-02";"W006";"P0181";"315";120;37;10184828.75;19.4;"2023-06-02"
"INV000052";"2025-01-03";"W026";"P0359";"8232";11;4;179779019.74;452.7;"2025-01-03"
"INV000053";"2024-06-05";"W015";"P0286";"888";125;85;969621.47;112.9;"2024-06-05"
"INV000054";"2023-11-26";"W023";"P0485";"938";72;44;31492915.23;63.0;"2023-11-26"
"INV000055";"2023-03-30";"W036";"P0082";"344";134;86;14932185.59;38.0;"2023-03-30"
"INV000056";"2024-06-04";"W015";"P0020";"";194;96;0.0;0.0;"2024-06-04"
"INV000057";"2025-08-25";"W033";"P0037";"562";126;56;17192488.1;28.7;"2025-08-25"
"INV000058";"2023-10-10";"W025";"P0355";"838";100;50;13096235.6;47.8;"2023-10-10"
"INV000059";"2024-09-05";"W014";"P0161";"976";173;94;9295886.14;83.5;"2024-09-05"
"INV000060";"2023-05-05";"W006";"P0329";"25";44;27;664246.45;9.7;"2023-05-05"
"INV000061";"2024-10-14";"W017";"P0134";"";116;68;20723754.22;24.0;"2024-10-14"
"INV000062";"2025-01-14";"W043";"P0062";"842";143;61;41547561.59;64.9;"2025-01-14"
"INV000063";"2024-11-15";"W003";"P0056";"638";189;106;13378276.52;297.4;"2024-11-15"
"INV000064";"2024-03-27";"W017";"P0216";"483";143;60;1097357.57;27.2;"2024-03-27"
"INV000066";"2023-10-01";"W011";"P0280";"372";90;62;16920124.2;20.5;"2023-10-01"
"INV000067";"2025-07-30";"W019";"P0304";"947";177;93;2387370.44;96.2;"2025-07-30"
"INV000068";"2023-02-02";"W016";"P0482";"84";94;53;50541.66;57.3;"2023-02-02"
"INV000069";"2024-10-04";"W001";"P0338";"65";46;20;2117360.13;3.6;"2024-10-04"
"INV000070";"2024-08-01";"W006";"P0317";"160";70;39;300205.17;17.2;"2024-08-01"
"INV000071";"2024-01-28";"W005";"P0441";"928";196;128;11203813.2;53.5;"2024-01-28"
"INV000072";"2024-02-05";"W004";"P0025";"134";77;40;468443.42;18.2;"2024-02-05"
"INV000073";"2025-02-19";"W038";"P0093";"822";40;18;21921420.59;61.6;"2025-02-19"
"INV000074";"2024-01-01";"W023";"P0013";"504";155;63;16704767.88;337.5;"2024-01-01"
"INV000075";"2024-10-18";"W022";"P0216";"536";143;82;17767439.76;33.1;"2024-10-18"
"INV000076";"2024-11-23";"W015";"P0320";"446";66;29;11782688.35;23.7;"2024-11-23"
"INV000078";"2024-06-19";"W048";"P0163";"448";176;77;645661.81;56.8;"2024-06-19"
"INV000079";"2024-01-16";"W006";"P0306";"188";145;56;5865101.28;10.3;"2024-01-16"
"INV000080";"2024-07-20";"W003";"P0246";"415";20;10;10601135.14;38.4;"2024-07-20"
"INV000081";"2025-02-19";"W007";"P0105";"726";57;32;23975075.63;239.1;"2025-02-19"
"INV000082";"2025-03-09";"W031";"P0159";"829";183;100;22069266.28;44.3;"2025-03-09"
"INV000083";"2023-06-25";"W024";"P0082";"88";134;76;6818.23;4.9;"2023-06-25"
"INV000084";"2023-10-14";"W023";"P0204";"437";89;35;2892812.28;46.2;"2023-10-14"
"INV000085";"2025-08-10";"W036";"P0374";"0";85;57;0.0;0.0;"2025-08-10"
"INV000086";"2024-01-27";"W042";"P0091";"841";183;101;5615564.23;77.2;"2024-01-27"
"INV000087";"2023-12-11";"W036";"P0282";"930";159;106;32005858.93;70.6;"2023-12-11"
"INV000088";"2025-12-29";"W046";"P0381";"816";80;54;23318393.12;220.1;"2025-12-29"
"INV000090";"2024-02-04";"W009";"P0295";"812";194;110;37404297.6;119.0;"2024-02-04"
"INV000091";"2024-06-06";"W003";"P0254";"238";113;57;517644.79;12.3;"2024-06-06"
"INV000094";"2024-10-28";"W037";"P0015";"490";159;85;846965.5;33.5;"2024-10-28"
"INV000096";"2024-06-11";"W011";"P0334";"";117;41;17464419.15;32.3;"2024-06-11"
"INV000097";"2023-09-14";"W031";"P0240";"9553";181;115;217344580.67;708.2;"2023-09-14"
"INV000098";"2024-06-07";"W005";"P0260";"126";83;52;1300796.82;16.9;"2024-06-07"
"INV000099";"2023-12-04";"W019";"P0067";"0";182;97;0.0;0.0;"2023-12-04"
"INV000101";"2023-07-13";"W010";"P0433";"753";180;63;23665847.34;71.9;"2023-07-13"
"INV000102";"2024-07-06";"W036";"P0285";"955";155;102;21540958.01;61.4;"2024-07-06"
"INV000103";"2024-09-12";"W044";"P0258";"0";176;67;0.0;0.0;"2024-09-12"
"INV000104";"2023-02-13";"W004";"P0392";"0";102;63;0.0;0.0;"2023-02-13"
"INV000106";"2025-01-05";"W043";"P0426";"518";104;48;1190662.84;64.5;"2025-01-05"
"INV000107";"2023-12-17";"W025";"P0112";"500";162;73;24427792.68;57.7;"2023-12-17"
"INV000108";"2023-01-18";"W028";"P0360";"476";147;78;6860272.66;157.6;"2023-01-18"
"INV000109";"2025-09-11";"W034";"P0293";"131";186;116;2441451.01;120.5;"2025-09-11"
"INV000112";"2023-12-22";"W050";"P0473";"626";159;100;22408222.71;60.8;"2023-12-22"
"INV000113";"2024-11-11";"W003";"P0309";"972";32;9;27769226.2;231.3;"2024-11-11"
"INV000114";"2025-03-25";"W031";"P0291";"540";140;77;26559208.86;27.3;"2025-03-25"
"INV000115";"2023-01-26";"W026";"P0323";"142";61;31;1760567.24;15.4;"2023-01-26"
"INV000116";"2025-05-10";"W019";"P0263";"918";45;15;25190009.69;176.2;"2025-05-10"
"INV000117";"2023-12-15";"W040";"P0181";"16282";120;71;535206954.2;1266.3;"2023-12-15"
"INV000118";"2025-03-11";"W036";"P0160";"766";77;25;35229802.71;84.7;"2025-03-11"
"INV000119";"2023-07-29";"W015";"P0434";"161";69;38;1762194.9;104.4;"2023-07-29"
"INV000120";"2023-10-06";"W026";"P0292";"548";104;49;2017954.35;41.1;"2023-10-06"
"INV000121";"2024-05-25";"W035";"P0371";"15164";29;17;6457575.22;881.4;"2024-05-25"
"INV000123";"2024-02-23";"W003";"P0476";"";93;51;11908856.44;14.8;"2024-02-23"
"INV000125";"2024-08-06";"W018";"P0193";"649";93;31;10873054.58;88.2;"2024-08-06"
"INV000126";"2024-06-13";"W031";"P0153";"0";165;85;0.0;0.0;"2024-06-13"
"INV000127";"2025-08-05";"W005";"P0483";"733";195;115;30187089.06;41.7;"2025-08-05"
"INV000128";"2025-11-27";"W022";"P0135";"687";160;64;32377665.47;62.0;"2025-11-27"
"INV000129";"2023-07-31";"W021";"P0341";"";106;56;865454.92;43.3;"2023-07-31"
"INV000131";"2024-04-08";"W038";"P0176";"220";167;86;9805547.03;20.9;"2024-04-08"
"INV000132";"2024-01-29";"W009";"P0125";"68";181;70;1552975.89;4.6;"2024-01-29"
"INV000133";"2023-03-17";"W022";"P0198";"714";75;28;2548310.37;88.8;"2023-03-17"
"INV000134";"2024-07-09";"W012";"P0348";"262";132;39;1853858.99;17.3;"2024-07-09"
"INV000135";"2023-12-19";"W050";"P0484";"47";57;25;2175298.34;3.4;"2023-12-19"
"INV000136";"2025-10-07";"W024";"P0121";"";20;13;3843036.06;19.6;"2025-10-07"
"INV000137";"2024-12-22";"W015";"P0376";"43";123;55;1024093.66;9.8;"2024-12-22"
"INV000138";"2023-12-29";"W032";"P0497";"100";160;102;1357833.52;7.6;"2023-12-29"
"INV000139";"2023-06-09";"W046";"P0456";"1000";77;35;25032615.83;127.7;"2023-06-09"
"INV000140";"2024-03-05";"W006";"P0167";"185";123;70;8483888.79;14.7;"2024-03-05"
"INV000141";"2023-03-18";"W019";"P0473";"816";159;50;147124.51;539.0;"2023-03-18"
"INV000142";"2025-03-30";"W025";"P0409";"696";105;44;12491320.7;57.8;"2025-03-30"
"INV000143";"2023-07-27";"W012";"P0295";"356";194;58;549215.02;36.8;"2023-07-27"
"INV000144";"2023-05-19";"W010";"P0478";"86";125;61;2627360.03;5.7;"2023-05-19"
"INV000145";"2025-12-04";"W008";"P0102";"791";113;67;4768044.06;56.5;"2025-12-04"
"INV000146";"2024-01-24";"W025";"P0275";"531";186;71;5792888.12;82.3;"2024-01-24"
"INV000147";"2024-09-08";"W044";"P0120";"214";189;70;9417817.3;32.2;"2024-09-08"
"INV000148";"2023-11-06";"W010";"P0466";"";69;42;10893926.59;55.3;"2023-11-06"
"INV000149";"2024-02-19";"W012";"P0057";"128";99;31;3000118.3;7.5;"2024-02-19"
"INV000150";"2024-11-23";"W005";"P0063";"723";169;81;22204139.09;42.7;"2024-11-23"
"INV000151";"2024-08-24";"W024";"P0216";"311";143;77;3898965.77;25.5;"2024-08-24"
"INV000152";"2023-02-13";"W013";"P0468";"";135;94;0.0;0.0;"2023-02-13"
"INV000153";"2023-07-21";"W015";"P0191";"925";178;63;36463007.77;275.4;"2023-07-21"
"INV000155";"2025-11-30";"W018";"P0121";"0";20;13;0.0;0.0;"2025-11-30"
"INV000156";"2023-07-26";"W028";"P0500";"877";187;61;21642757.07;175.2;"2023-07-26"
"INV000157";"2023-03-10";"W024";"P0246";"980";20;11;20612308.68;62.0;"2023-03-10"
"INV000158";"2025-09-28";"W005";"P0318";"757";187;98;4858488.87;58.2;"2025-09-28"
"INV000159";"2023-03-30";"W037";"P0039";"843";24;16;10402288.01;62.9;"2023-03-30"
"INV000160";"2025-10-28";"W045";"P0499";"0";50;33;0.0;0.0;"2025-10-28"
"INV000161";"2025-06-14";"W005";"P0050";"207";173;97;2819763.99;59.3;"2025-06-14"
"INV000162";"2023-07-30";"W044";"P0191";"";178;89;25312533.46;44.7;"2023-07-30"
"INV000165";"2025-01-11";"W039";"P0384";"186";122;47;8107256.0;9.8;"2025-01-11"
"INV000166";"2023-03-29";"W019";"P0408";"691";31;14;3598360.62;47.1;"2023-03-29"
"INV000169";"2024-04-17";"W033";"P0391";"394";132;82;10454318.77;48.4;"2024-04-17"
"INV000170";"2023-03-31";"W048";"P0060";"454";19;6;5945020.15;89.8;"2023-03-31"
"INV000171";"2023-09-05";"W035";"P0025";"278";77;35;2481019.83;34.3;"2023-09-05"
"INV000173";"2025-01-15";"W030";"P0311";"326";84;45;661259.52;16.6;"2025-01-15"
"INV000174";"2025-05-03";"W032";"P0390";"503";74;33;2292178.64;25.7;"2025-05-03"
"INV000175";"2025-04-07";"W030";"P0475";"852";40;16;18550289.51;422.5;"2025-04-07"
"INV000176";"2025-09-28";"W042";"P0327";"";200;87;23801984.4;66.8;"2025-09-28"
"INV000177";"2023-08-08";"W035";"P0290";"";91;46;12892289.52;36.4;"2023-08-08"
"INV000178";"2024-08-01";"W043";"P0378";"65";33;12;3157385.39;6.7;"2024-08-01"
"INV000179";"2025-08-12";"W002";"P0469";"0";143;53;0.0;0.0;"2025-08-12"
"INV000180";"2023-07-03";"W019";"P0497";"336";160;61;1284228.85;107.3;"2023-07-03"
"INV000181";"2024-01-10";"W044";"P0325";"6497";124;85;24765894.34;414.6;"2024-01-10"
"INV000182";"2025-10-20";"W001";"P0236";"734";145;92;13114267.22;75.3;"2025-10-20"
"INV000183";"2023-01-16";"W002";"P0123";"";54;21;0.0;0.0;"2023-01-16"
"INV000185";"2023-11-21";"W006";"P0217";"359";96;39;13392367.63;44.1;"2023-11-21"
"INV000186";"2025-05-17";"W046";"P0297";"571";62;29;4061586.9;128.5;"2025-05-17"
"INV000187";"2025-01-03";"W005";"P0215";"710";139;78;20344558.78;71.4;"2025-01-03"
"INV000189";"2024-07-08";"W048";"P0217";"725";96;53;7728870.2;38.4;"2024-07-08"
"INV000191";"2025-06-04";"W038";"P0325";"0";124;38;0.0;0.0;"2025-06-04"
"INV000192";"2025-01-02";"W048";"P0171";"749";69;32;22286394.49;680.2;"2025-01-02"
"INV000194";"2025-05-14";"W005";"P0009";"105";103;67;2325042.11;7.3;"2025-05-14"
"INV000195";"2023-08-21";"W017";"P0197";"102";163;110;1297917.87;37.6;"2023-08-21"
"INV000196";"2024-01-16";"W026";"P0157";"406";145;74;1115954.37;150.4;"2024-01-16"
"INV000197";"2023-04-09";"W018";"P0484";"478";57;22;9916207.05;234.2;"2023-04-09"
"INV000198";"2025-05-06";"W038";"P0294";"690";158;97;29857465.04;79.4;"2025-05-06"
"INV000199";"2023-11-28";"W040";"P0219";"273";179;92;8056732.33;23.3;"2023-11-28"
"INV000200";"2025-07-19";"W035";"P0040";"694";30;14;14622629.27;608.9;"2025-07-19"
"INV000201";"2025-07-31";"W050";"P0039";"0";24;11;0.0;0.0;"2025-07-31"
"INV000202";"2024-01-25";"W040";"P0042";"101";154;96;369779.95;9.8;"2024-01-25"
"INV000203";"2023-07-22";"W039";"P0097";"10319";32;15;72973289.32;1370.5;"2023-07-22"
"INV000204";"2023-01-06";"W029";"P0461";"0";91;38;0.0;0.0;"2023-01-06"
"INV000205";"2024-09-13";"W006";"P0225";"931";51;32;12166023.95;53.0;"2024-09-13"
"INV000206";"2024-09-18";"W005";"P0351";"11355";62;39;71821528.32;1155.2;"2024-09-18"
"INV000207";"2025-03-28";"W002";"P0087";"316";67;21;608469.98;20.3;"2025-03-28"
"INV000208";"2024-09-05";"W022";"P0365";"86";137;52;2314555.66;6.2;"2024-09-05"
"INV000210";"2025-06-19";"W037";"P0467";"835";178;114;3720007.36;113.5;"2025-06-19"
"INV000211";"2025-11-02";"W022";"P0181";"287";120;51;5198363.3;44.9;"2025-11-02"
"INV000212";"2024-05-04";"W009";"P0123";"44";54;19;1142577.05;11.3;"2024-05-04"
"INV000213";"2025-10-02";"W050";"P0464";"757";84;54;5161960.54;305.4;"2025-10-02"
"INV000214";"2025-09-11";"W045";"P0297";"759";62;40;19151727.39;42.1;"2025-09-11"
"INV000215";"2023-06-02";"W023";"P0457";"879";155;53;11838560.23;54.8;"2023-06-02"
"INV000216";"2023-04-19";"W038";"P0281";"509";137;65;15123322.21;71.3;"2023-04-19"
"INV000217";"2025-03-21";"W008";"P0341";"489";106;73;12080423.21;60.5;"2025-03-21"
"INV000219";"2023-02-21";"W011";"P0058";"";27;13;8467126.18;11.6;"2023-02-21"
"INV000220";"2025-07-08";"W033";"P0225";"";51;27;0.0;0.0;"2025-07-08"
"INV000221";"2025-10-17";"W028";"P0477";"7561";183;111;60931529.24;986.8;"2025-10-17"
"INV000222";"2023-04-17";"W037";"P0256";"0";103;50;0.0;0.0;"2023-04-17"
"INV000223";"2024-02-15";"W025";"P0117";"54";28;11;2517027.92;12.4;"2024-02-15"
"INV000224";"2025-06-11";"W027";"P0344";"959";104;62;17698694.49;150.6;"2025-06-11"
"INV000225";"2024-01-19";"W011";"P0334";"";117;59;21877647.62;43.2;"2024-01-19"
"INV000226";"2025-07-29";"W004";"P0274";"692";84;56;31148677.14;52.7;"2025-07-29"
"INV000227";"2025-05-23";"W036";"P0005";"621";36;16;7211436.31;37.6;"2025-05-23"
"INV000228";"2023-11-04";"W041";"P0317";"12942";70;21;127477322.86;1468.2;"2023-11-04"
"INV000229";"2023-07-08";"W028";"P0472";"517";93;33;14178339.32;100.8;"2023-07-08"
"INV000230";"2025-07-06";"W020";"P0404";"471";64;35;560895.11;26.3;"2025-07-06"
"INV000231";"2024-05-13";"W010";"P0040";"390";30;17;4288906.5;23.4;"2024-05-13"
"INV000232";"2023-04-15";"W006";"P0093";"0";40;16;0.0;0.0;"2023-04-15"
"INV000233";"2023-08-20";"W008";"P0050";"0";173;65;0.0;0.0;"2023-08-20"
"INV000235";"2023-01-14";"W023";"P0234";"";19;8;623655025.5;2651.3;"2023-01-14"
"INV000237";"2025-05-28";"W031";"P0019";"11";78;26;501455.96;0.7;"2025-05-28"
"INV000238";"2024-07-21";"W025";"P0455";"15";78;31;316371.88;1.2;"2024-07-21"
"INV000240";"2023-11-19";"W006";"P0304";"882";177;87;7224116.17;45.8;"2023-11-19"
"INV000241";"2025-09-06";"W044";"P0460";"627";19;13;10310142.75;193.3;"2025-09-06"
"INV000242";"2023-04-17";"W050";"P0139";"473";94;44;16175316.16;86.5;"2023-04-17"
"INV000243";"2024-07-24";"W024";"P0472";"272";93;48;5036922.09;25.9;"2024-07-24"
"INV000245";"2023-05-08";"W026";"P0344";"506";104;48;182043.9;47.1;"2023-05-08"
"INV000246";"2023-10-24";"W031";"P0003";"790";189;59;22107552.21;43.6;"2023-10-24"
"INV000247";"2023-10-13";"W038";"P0372";"0";17;5;0.0;0.0;"2023-10-13"
"INV000250";"2023-08-08";"W046";"P0259";"771";153;85;24435115.82;241.4;"2023-08-08"
"INV000252";"2024-10-24";"W015";"P0094";"6";139;72;287509.0;0.3;"2024-10-24"
"INV000253";"2024-05-16";"W035";"P0469";"";143;78;4873868.62;9.1;"2024-05-16"
"INV000254";"2025-01-04";"W007";"P0040";"428";30;9;12016298.0;39.0;"2025-01-04"
"INV000255";"2024-07-01";"W018";"P0262";"95";86;30;2961168.57;4.9;"2024-07-01"
"INV000258";"2025-07-05";"W027";"P0104";"7792";69;48;2462262.69;443.8;"2025-07-05"
"INV000259";"2023-03-28";"W047";"P0409";"12";105;61;65765.46;0.7;"2023-03-28"
"INV000260";"2023-01-29";"W047";"P0330";"902";106;56;13534116.6;90.7;"2023-01-29"
"INV000261";"2025-12-04";"W005";"P0354";"";96;58;5177261.57;14.4;"2025-12-04"
"INV000262";"2024-06-08";"W018";"P0247";"55";175;96;253155.38;11.4;"2024-06-08"
"INV000263";"2025-02-11";"W044";"P0411";"14516";83;36;136792258.04;1237.8;"2025-02-11"
"INV000264";"2025-07-27";"W050";"P0116";"108";84;25;2051496.01;21.4;"2025-07-27"
"INV000265";"2024-11-19";"W024";"P0154";"953";178;100;13654835.45;90.0;"2024-11-19"
"INV000266";"2023-01-31";"W020";"P0059";"16";147;81;648562.68;0.9;"2023-01-31"
"INV000267";"2024-04-02";"W024";"P0038";"15822";49;29;622687288.41;1123.4;"2024-04-02"
"INV000273";"2024-06-04";"W033";"P0450";"560";31;20;20762314.39;320.4;"2024-06-04"
"INV000274";"2025-08-09";"W042";"P0119";"";88;55;24151157.32;46.1;"2025-08-09"
"INV000275";"2025-03-21";"W038";"P0487";"480";149;57;21262664.67;27.4;"2025-03-21"
"INV000277";"2025-03-04";"W011";"P0119";"512";88;42;7980038.55;37.6;"2025-03-04"
"INV000278";"2023-02-06";"W007";"P0284";"";44;27;2687139.91;58.2;"2023-02-06"
"INV000279";"2023-06-13";"W048";"P0258";"129";176;92;1120325.62;29.6;"2023-06-13"
"INV000280";"2024-02-25";"W047";"P0356";"0";174;70;0.0;0.0;"2024-02-25"
"INV000281";"2023-07-22";"W025";"P0180";"";120;66;11250774.77;102.2;"2023-07-22"
"INV000283";"2024-10-07";"W001";"P0120";"";189;75;26540301.04;69.0;"2024-10-07"
"INV000284";"2024-08-19";"W019";"P0023";"925";88;47;31519226.6;92.8;"2024-08-19"
"INV000288";"2024-09-20";"W001";"P0494";"872";136;71;28217195.56;51.7;"2024-09-20"
"INV000289";"2023-10-09";"W017";"P0477";"134";183;57;1457359.81;85.8;"2023-10-09"
"INV000290";"2025-10-02";"W034";"P0286";"617";125;53;12082630.83;33.1;"2025-10-02"
"INV000292";"2023-03-10";"W037";"P0353";"470";94;31;3447735.79;41.0;"2023-03-10"
"INV000293";"2025-05-14";"W026";"P0465";"220";136;46;9531802.7;15.0;"2025-05-14"
"INV000294";"2023-09-17";"W028";"P0252";"";119;50;10668452.11;135.7;"2023-09-17"
"INV000295";"2025-02-03";"W013";"P0118";"";67;28;16134447.82;38.5;"2025-02-03"
"INV000296";"2023-02-05";"W018";"P0450";"290";31;14;3573742.61;84.4;"2023-02-05"
"INV000298";"2025-04-03";"W021";"P0277";"485";98;67;21692516.51;94.6;"2025-04-03"
"INV000299";"2025-01-20";"W033";"P0133";"365";47;23;6454363.83;27.3;"2025-01-20"
"INV000300";"2023-07-06";"W015";"P0225";"888";51;21;40839583.13;103.1;"2023-07-06"
"INV000301";"2024-11-01";"W039";"P0429";"471";82;54;16336707.89;324.0;"2024-11-01"
"INV000302";"2025-05-23";"W028";"P0103";"324";98;45;11850443.85;18.9;"2025-05-23"
"INV000304";"2025-11-26";"W033";"P0068";"";141;76;8038537.02;107.8;"2025-11-26"
"INV000305";"2024-01-16";"W040";"P0215";"";139;68;7145148.91;27.3;"2024-01-16"
"INV000306";"2023-07-13";"W002";"P0209";"11591";90;43;409673836.83;1443.9;"2023-07-13"
"INV000307";"2023-05-04";"W031";"P0343";"571";109;75;24729373.92;38.3;"2023-05-04"
"INV000308";"2024-03-29";"W034";"P0017";"484";184;105;17492710.16;40.8;"2024-03-29"
"INV000309";"2023-10-21";"W045";"P0127";"845";113;61;32977768.77;115.5;"2023-10-21"
"INV000310";"2023-03-19";"W014";"P0442";"773";31;13;20994656.87;48.8;"2023-03-19"
"INV000311";"2025-06-08";"W009";"P0447";"0";130;66;0.0;0.0;"2025-06-08"
"INV000312";"2025-11-13";"W049";"P0493";"542";190;88;7157973.97;40.0;"2025-11-13"
"INV000313";"2023-05-16";"W014";"P0422";"116";183;81;1948730.93;7.5;"2023-05-16"
"INV000315";"2025-02-22";"W037";"P0401";"255";199;82;701239.66;15.0;"2025-02-22"
"INV000316";"2023-07-11";"W048";"P0146";"497";53;31;18798447.63;33.6;"2023-07-11"
"INV000317";"2024-11-16";"W046";"P0248";"155";79;46;7226836.85;8.0;"2024-11-16"
"INV000320";"2025-02-13";"W004";"P0361";"";37;25;16809818.58;29.9;"2025-02-13"
"INV000321";"2025-09-09";"W008";"P0055";"469";55;31;15374102.95;33.4;"2025-09-09"
"INV000322";"2025-07-16";"W011";"P0416";"346";149;66;9252989.86;19.2;"2025-07-16"
"INV000324";"2025-03-16";"W043";"P0285";"164";155;67;8150024.05;9.3;"2025-03-16"
"INV000325";"2024-11-29";"W039";"P0098";"";107;50;61121.23;6.1;"2024-11-29"
"INV000326";"2025-07-08";"W007";"P0500";"150";187;88;7099372.84;98.4;"2025-07-08"
"INV000327";"2024-11-18";"W042";"P0208";"";158;63;31940352.7;45.5;"2024-11-18"
"INV000329";"2023-12-17";"W022";"P0441";"842";196;85;29695985.93;317.0;"2023-12-17"
"INV000330";"2025-02-15";"W001";"P0388";"704";150;48;18372287.6;36.1;"2025-02-15"
"INV000331";"2023-05-18";"W039";"P0038";"923";49;21;7241280.97;147.2;"2023-05-18"
"INV000333";"2025-12-04";"W040";"P0469";"539";143;58;7490177.19;43.1;"2025-12-04"
"INV000334";"2025-07-25";"W050";"P0487";"0";149;81;0.0;0.0;"2025-07-25"
"INV000335";"2025-09-01";"W018";"P0053";"347";20;10;3169286.35;28.7;"2025-09-01"
"INV000336";"2025-07-05";"W006";"P0234";"81";19;5;2254530.37;4.2;"2025-07-05"
"INV000337";"2024-03-28";"W024";"P0401";"944";199;117;31087726.73;48.2;"2024-03-28"
"INV000338";"2025-09-22";"W048";"P0233";"219";67;23;349970.77;13.0;"2025-09-22"
"INV000340";"2025-03-10";"W019";"P0395";"0";76;49;0.0;0.0;"2025-03-10"
"INV000341";"2024-12-19";"W025";"P0221";"207";189;67;2229916.9;20.5;"2024-12-19"
"INV000342";"2023-04-14";"W017";"P0311";"755";84;34;26123114.35;55.5;"2023-04-14"
