"shipment_id";"order_id";"warehouse_id";"carrier_name";"dispatch_date";"delivery_date";"shipping_cost";"shipping_status";"dispatch_date_clean";"delivery_date_clean";"rn"
"SHP000026";"ORD004745";"W008";"Shadowfax";"2025-12-14";"2026-01-06";387.56;"Delivered";"2025-12-14";"2026-01-06";1
"SHP000027";"ORD010210";"W021";"Shadowfax";"2025-12-04";"2025-12-23";37326.5;"Delivered";"2025-12-04";"2025-12-23";1
"SHP000028";"ORD006274";"W029";"Gati";"2024-10-21";"2024-11-09";473.43;"Delivered";"2024-10-21";"2024-11-09";1
"SHP000029";"ORD010016";"W028";"Gati";"2024-12-28";"2025-01-22";1372.18;"Delivered";"2024-12-28";"2025-01-22";1
"SHP000030";"ORD000874";"W048";"Shadowfax";"2023-09-03";"2023-09-07";1880.34;"Delivered";"2023-09-03";"2023-09-07";1
"SHP000031";"ORD006232";"W036";"Delhivery";"2024-11-26";"";685.7;"In Transit";"2024-11-26";"";1
"SHP000032";"ORD012626";"W004";"Delhivery";"2023-12-13";"2023-12-20";612.88;"Delayed";"2023-12-13";"2023-12-20";1
"SHP000033";"ORD012377";"W020";"Ekart";"2023-05-18";"2023-05-24";1406.09;"Delivered";"2023-05-18";"2023-05-24";1
"SHP000034";"ORD012128";"W019";"Delhivery";"2023-12-13";"2024-01-06";379.42;"Delivered";"2023-12-13";"2024-01-06";1
"SHP000035";"ORD011839";"W007";"Blue Dart";"2024-03-20";"";1716.07;"In Transit";"2024-03-20";"";1
"SHP000036";"ORD011764";"W049";"Delhivery";"2025-03-26";"2025-03-27";1657.88;"Delivered";"2025-03-26";"2025-03-27";1
"SHP000037";"ORD011304";"W042";"Shadowfax";"2023-12-21";"2024-01-10";1282.68;"Delivered";"2023-12-21";"2024-01-10";1
"SHP000038";"ORD012330";"W009";"Shadowfax";"2023-03-28";"2023-04-24";1666.56;"Delivered";"2023-03-28";"2023-04-24";1
"SHP000039";"ORD002151";"W031";"XpressBees";"2025-04-11";"2025-04-22";1176.4;"Delayed";"2025-04-11";"2025-04-22";1
"SHP000040";"ORD012596";"W031";"XpressBees";"2023-07-05";"2023-07-06";413.81;"Delivered";"2023-07-05";"2023-07-06";1
"SHP000041";"ORD004300";"W014";"FedEx";"2025-05-30";"2025-06-03";264.79;"Delivered";"2025-05-30";"2025-06-03";1
"SHP000042";"ORD014526";"W002";"Ekart";"2023-05-13";"2023-05-24";472.4;"Delivered";"2023-05-13";"2023-05-24";1
"SHP000043";"ORD008612";"W005";"Delhivery";"2023-08-14";"2023-09-08";1694.28;"Delivered";"2023-08-14";"2023-09-08";1
"SHP000044";"ORD001308";"W042";"DTDC";"2023-04-24";"2023-04-26";475.97;"Delivered";"2023-04-24";"2023-04-26";1
"SHP000045";"ORD012175";"W024";"Blue Dart";"2025-12-21";"2026-01-10";473.9;"Delivered";"2025-12-21";"2026-01-10";1
"SHP000046";"ORD001665";"W021";"DTDC";"2023-03-16";"2023-04-08";1995.77;"Delayed";"2023-03-16";"2023-04-08";1
"SHP000047";"";"W025";"FedEx";"2023-11-15";"";838.7;"In Transit";"2023-11-15";"";1
"SHP000048";"ORD010636";"W006";"Ekart";"2025-01-11";"";860.03;"In Transit";"2025-01-11";"";1
"SHP000049";"ORD004833";"W034";"XpressBees";"2024-10-25";"2024-11-17";338.26;"Delivered";"2024-10-25";"2024-11-17";1
"SHP000050";"ORD006889";"W034";"FedEx";"2023-06-25";"2023-07-07";1135.46;"Delivered";"2023-06-25";"2023-07-07";1
"SHP000051";"ORD014972";"W039";"XpressBees";"2024-10-26";"2024-11-18";535.73;"Delivered";"2024-10-26";"2024-11-18";1
"SHP000052";"ORD012765";"W008";"FedEx";"2024-03-02";"2024-03-27";619.84;"Delivered";"2024-03-02";"2024-03-27";1
"SHP000053";"ORD013481";"W017";"XpressBees";"2025-08-01";"2025-08-20";1080.6;"Delivered";"2025-08-01";"2025-08-20";1
"SHP000054";"ORD011479";"W032";"FedEx";"2024-06-12";"2024-06-16";1462.57;"Delivered";"2024-06-12";"2024-06-16";1
"SHP000055";"ORD003063";"W019";"FedEx";"2023-01-17";"2023-02-04";1320.55;"Delivered";"2023-01-17";"2023-02-04";1
"SHP000056";"ORD002023";"W050";"XpressBees";"2025-09-14";"2025-09-16";523.05;"Delivered";"2025-09-14";"2025-09-16";1
"SHP000057";"ORD013142";"W017";"DTDC";"2023-05-14";"";1374.05;"In Transit";"2023-05-14";"";1
"SHP000058";"ORD005945";"W011";"XpressBees";"2023-01-19";"2023-02-18";914.79;"Delivered";"2023-01-19";"2023-02-18";1
"SHP000059";"";"W022";"Gati";"2023-04-01";"2023-04-21";1995.46;"Delivered";"2023-04-01";"2023-04-21";1
"SHP000060";"ORD006778";"W045";"Ekart";"2023-09-10";"";1828.27;"In Transit";"2023-09-10";"";1
"SHP000061";"ORD011063";"W046";"Blue Dart";"2024-09-25";"";56430.94;"In Transit";"2024-09-25";"";1
"SHP000062";"ORD004684";"W015";"FedEx";"2025-02-11";"2025-02-26";969.1;"Delivered";"2025-02-11";"2025-02-26";1
"SHP000063";"ORD013594";"W012";"Ekart";"2023-04-23";"2023-05-03";653.51;"Delivered";"2023-04-23";"2023-05-03";1
"SHP000064";"ORD005571";"W029";"Gati";"2024-12-17";"";1044.38;"In Transit";"2024-12-17";"";1
"SHP000065";"ORD002666";"W014";"XpressBees";"2025-04-19";"2025-04-28";1919.68;"Delivered";"2025-04-19";"2025-04-28";1
"SHP000066";"ORD013636";"W034";"Delhivery";"2025-11-28";"2025-12-26";531.62;"Delivered";"2025-11-28";"2025-12-26";1
"SHP000067";"ORD010358";"W032";"FedEx";"2025-06-19";"2025-07-06";1084.08;"Delivered";"2025-06-19";"2025-07-06";1
"SHP000068";"ORD008180";"W008";"Blue Dart";"2024-06-05";"2024-06-27";1968.47;"Delivered";"2024-06-05";"2024-06-27";1
"SHP000069";"ORD012635";"W048";"Delhivery";"2025-12-30";"2026-01-08";901.61;"Delivered";"2025-12-30";"2026-01-08";1
"SHP000070";"ORD009287";"W013";"";"2024-07-04";"2024-07-16";1558.11;"Delivered";"2024-07-04";"2024-07-16";1
"SHP000071";"ORD002698";"W050";"DTDC";"2025-11-20";"2025-12-12";160.75;"Delayed";"2025-11-20";"2025-12-12";1
"SHP000072";"ORD010780";"W003";"DTDC";"2024-05-23";"2024-06-10";610.6;"Delivered";"2024-05-23";"2024-06-10";1
"SHP000073";"ORD010987";"W014";"Blue Dart";"2025-02-09";"2025-02-22";1185.36;"Delivered";"2025-02-09";"2025-02-22";1
"SHP000074";"ORD011902";"W008";"Delhivery";"2023-10-25";"2023-11-15";665.58;"Delivered";"2023-10-25";"2023-11-15";1
"SHP000075";"ORD004276";"W032";"Ekart";"2025-06-29";"2025-07-08";1657.87;"Delivered";"2025-06-29";"2025-07-08";1
"SHP000076";"ORD012847";"W027";"Ekart";"2023-12-28";"2024-01-21";1042.62;"Delivered";"2023-12-28";"2024-01-21";1
"SHP000077";"ORD011395";"W033";"Blue Dart";"2024-08-25";"2024-09-04";830.84;"Delivered";"2024-08-25";"2024-09-04";1
"SHP000078";"ORD013967";"W030";"FedEx";"2025-02-03";"2025-03-03";1347.92;"Delivered";"2025-02-03";"2025-03-03";1
"SHP000079";"";"W031";"Delhivery";"2024-06-05";"2024-06-12";353.76;"Delayed";"2024-06-05";"2024-06-12";1
"SHP000080";"";"W015";"DTDC";"2024-02-24";"2024-03-08";1543.88;"Delivered";"2024-02-24";"2024-03-08";1
"SHP000081";"ORD012070";"W040";"DTDC";"2025-01-07";"2025-01-17";1227.4;"Delayed";"2025-01-07";"2025-01-17";1
"SHP000082";"ORD010632";"W002";"Ekart";"2025-11-17";"2025-12-04";394.94;"Delivered";"2025-11-17";"2025-12-04";1
"SHP000083";"ORD002698";"W010";"";"2025-05-04";"2025-05-29";157.76;"Delivered";"2025-05-04";"2025-05-29";1
"SHP000084";"ORD003884";"W010";"Ekart";"2023-05-07";"2023-05-25";55.93;"Delivered";"2023-05-07";"2023-05-25";1
"SHP000085";"ORD014403";"W036";"XpressBees";"2025-05-03";"";1242.27;"Lost";"2025-05-03";"";1
"SHP000086";"ORD012868";"W039";"FedEx";"2023-08-29";"2023-09-01";176.66;"Delayed";"2023-08-29";"2023-09-01";1
"SHP000087";"ORD005637";"W041";"FedEx";"2025-01-16";"2025-02-13";437.57;"Delivered";"2025-01-16";"2025-02-13";1
"SHP000088";"ORD011463";"W019";"FedEx";"2025-10-22";"2025-11-02";952.71;"Delivered";"2025-10-22";"2025-11-02";1
"SHP000089";"ORD000039";"W039";"Delhivery";"2024-07-19";"2024-08-11";168.65;"Delivered";"2024-07-19";"2024-08-11";1
"SHP000090";"ORD005765";"W016";"Blue Dart";"2024-05-26";"";1293.23;"Lost";"2024-05-26";"";1
"SHP000091";"ORD006932";"W038";"DTDC";"2023-03-05";"2023-03-30";1459.11;"Delivered";"2023-03-05";"2023-03-30";1
"SHP000092";"ORD008640";"W042";"Delhivery";"2023-02-21";"2023-02-23";1063.07;"Delivered";"2023-02-21";"2023-02-23";1
"SHP000093";"ORD012856";"W002";"Blue Dart";"2025-05-03";"2025-05-15";1884.29;"Delivered";"2025-05-03";"2025-05-15";1
"SHP000094";"ORD013430";"W011";"Blue Dart";"2024-05-18";"2024-05-27";1674.81;"Delivered";"2024-05-18";"2024-05-27";1
"SHP000095";"ORD012688";"W003";"FedEx";"2023-12-06";"2024-01-04";1101.8;"Delivered";"2023-12-06";"2024-01-04";1
"SHP000096";"ORD012354";"W001";"Blue Dart";"2025-12-27";"2026-01-04";32719.92;"Delivered";"2025-12-27";"2026-01-04";1
"SHP000097";"ORD007850";"W011";"Blue Dart";"2023-05-07";"2023-05-27";811.68;"Delivered";"2023-05-07";"2023-05-27";1
"SHP000098";"ORD004462";"W048";"Ekart";"2024-07-24";"2024-07-26";205.02;"Delivered";"2024-07-24";"2024-07-26";1
"SHP000099";"ORD003258";"W043";"";"2024-10-31";"2024-11-22";207.03;"Delivered";"2024-10-31";"2024-11-22";1
"SHP000100";"ORD006411";"W033";"Delhivery";"2025-05-02";"";894.72;"In Transit";"2025-05-02";"";1
"SHP000101";"ORD005583";"W018";"";"2025-02-19";"";768.37;"In Transit";"2025-02-19";"";1
"SHP000102";"ORD010199";"W027";"DTDC";"2024-01-18";"2024-02-10";1414.7;"Delivered";"2024-01-18";"2024-02-10";1
"SHP000103";"";"W006";"Delhivery";"2023-06-25";"2023-07-02";1769.3;"Delivered";"2023-06-25";"2023-07-02";1
"SHP000104";"ORD010266";"W015";"DTDC";"2025-02-14";"2025-02-19";453.02;"Delivered";"2025-02-14";"2025-02-19";1
"SHP000105";"ORD012420";"W009";"FedEx";"2023-03-21";"2023-04-09";550.56;"Delivered";"2023-03-21";"2023-04-09";1
"SHP000106";"ORD006626";"W008";"FedEx";"2023-02-02";"2023-03-02";275.18;"Delivered";"2023-02-02";"2023-03-02";1
"SHP000107";"";"W037";"Blue Dart";"2024-04-21";"2024-04-30";1070.68;"Delivered";"2024-04-21";"2024-04-30";1
"SHP000108";"ORD006522";"W029";"Ekart";"2023-02-13";"2023-03-09";666.09;"Delayed";"2023-02-13";"2023-03-09";1
"SHP000109";"ORD002632";"W021";"Ekart";"2025-05-21";"2025-06-11";34796.38;"Delivered";"2025-05-21";"2025-06-11";1
"SHP000110";"ORD000411";"W034";"FedEx";"2025-06-23";"2025-07-12";1548.53;"Delivered";"2025-06-23";"2025-07-12";1
"SHP000111";"ORD008737";"W031";"Blue Dart";"2023-02-19";"2023-02-23";198.81;"Delivered";"2023-02-19";"2023-02-23";1
"SHP000112";"ORD009382";"W004";"FedEx";"2024-03-11";"2024-03-12";415.49;"Delivered";"2024-03-11";"2024-03-12";1
"SHP000113";"ORD001952";"W017";"Ekart";"2023-02-10";"2023-02-26";405.47;"Delivered";"2023-02-10";"2023-02-26";1
"SHP000114";"ORD007677";"W036";"Shadowfax";"2023-02-22";"2023-02-28";71.86;"Delivered";"2023-02-22";"2023-02-28";1
"SHP000115";"ORD004347";"W044";"Delhivery";"2023-04-18";"2023-04-29";1257.63;"Delivered";"2023-04-18";"2023-04-29";1
"SHP000116";"ORD014090";"W003";"Ekart";"2025-02-04";"";1449.85;"In Transit";"2025-02-04";"";1
"SHP000117";"ORD005292";"W001";"Delhivery";"2023-03-02";"2023-03-24";75.62;"Delivered";"2023-03-02";"2023-03-24";1
"SHP000118";"ORD009146";"W036";"Gati";"2023-08-27";"2023-09-18";277.12;"Delayed";"2023-08-27";"2023-09-18";1
"SHP000119";"ORD001892";"W020";"FedEx";"2024-09-13";"2024-10-10";1939.06;"Delivered";"2024-09-13";"2024-10-10";1
"SHP000120";"ORD009938";"W012";"Ekart";"2024-02-22";"2024-03-13";922.96;"Delivered";"2024-02-22";"2024-03-13";1
"SHP000121";"ORD010771";"W050";"Gati";"2024-12-10";"2024-12-14";865.31;"Delivered";"2024-12-10";"2024-12-14";1
"SHP000122";"";"W033";"Blue Dart";"2024-06-15";"2024-07-13";27687.71;"Delivered";"2024-06-15";"2024-07-13";1
"SHP000123";"ORD008752";"W042";"Blue Dart";"2025-11-02";"2025-11-17";23178.4;"Delayed";"2025-11-02";"2025-11-17";1
"SHP000124";"ORD004248";"W006";"DTDC";"2025-01-13";"2025-01-30";407.08;"Delivered";"2025-01-13";"2025-01-30";1
"SHP000125";"ORD014881";"W013";"Blue Dart";"2023-03-26";"2023-04-07";562.02;"Delivered";"2023-03-26";"2023-04-07";1
"SHP000126";"ORD013580";"W028";"Gati";"2024-04-26";"2024-05-13";617.12;"Delivered";"2024-04-26";"2024-05-13";1
"SHP000127";"ORD008278";"W033";"Blue Dart";"2023-09-24";"2023-10-12";809.27;"Delivered";"2023-09-24";"2023-10-12";1
"SHP000128";"ORD008779";"W050";"Delhivery";"2025-09-30";"2025-10-29";981.37;"Delivered";"2025-09-30";"2025-10-29";1
"SHP000129";"ORD014398";"W014";"";"2023-03-28";"";628.56;"In Transit";"2023-03-28";"";1
"SHP000130";"ORD006886";"W048";"Shadowfax";"2025-06-18";"2025-06-27";1773.13;"Delivered";"2025-06-18";"2025-06-27";1
"SHP000131";"ORD000639";"W010";"Ekart";"2025-07-15";"2025-08-10";736.23;"Delivered";"2025-07-15";"2025-08-10";1
"SHP000132";"ORD006583";"W033";"FedEx";"2023-12-12";"2023-12-30";864.59;"Delayed";"2023-12-12";"2023-12-30";1
"SHP000133";"ORD005443";"W005";"DTDC";"2024-01-10";"2024-01-13";653.46;"Delivered";"2024-01-10";"2024-01-13";1
"SHP000134";"ORD001393";"W008";"XpressBees";"2024-04-21";"2024-05-01";860.28;"Delivered";"2024-04-21";"2024-05-01";1
"SHP000135";"ORD012931";"W028";"Shadowfax";"2024-01-12";"";837.9;"Lost";"2024-01-12";"";1
"SHP000136";"ORD007649";"W007";"Blue Dart";"2025-09-11";"";977.66;"In Transit";"2025-09-11";"";1
"SHP000137";"ORD009793";"W024";"DTDC";"2025-09-09";"2025-09-14";1996.46;"Delivered";"2025-09-09";"2025-09-14";1
"SHP000138";"ORD011584";"W036";"DTDC";"2024-01-13";"2024-01-15";393.6;"Delayed";"2024-01-13";"2024-01-15";1
"SHP000139";"ORD000124";"W041";"Shadowfax";"2023-11-12";"2023-11-29";51810.32;"Delivered";"2023-11-12";"2023-11-29";1
"SHP000140";"ORD002763";"W013";"XpressBees";"2023-06-05";"2023-07-02";485.95;"Delivered";"2023-06-05";"2023-07-02";1
"SHP000141";"ORD000871";"W041";"Delhivery";"2024-03-16";"2024-04-06";169.58;"Delivered";"2024-03-16";"2024-04-06";1
"SHP000142";"ORD001849";"W018";"Gati";"2023-09-05";"2023-09-19";220.17;"Delayed";"2023-09-05";"2023-09-19";1
"SHP000143";"ORD009857";"W014";"Gati";"2024-07-08";"2024-07-11";604.06;"Delayed";"2024-07-08";"2024-07-11";1
"SHP000144";"ORD001121";"W050";"Gati";"2025-05-25";"2025-05-29";1610.61;"Delayed";"2025-05-25";"2025-05-29";1
"SHP000145";"ORD011531";"W050";"Gati";"2025-12-16";"2025-12-18";246.56;"Delivered";"2025-12-16";"2025-12-18";1
"SHP000146";"ORD014986";"W027";"XpressBees";"2024-02-08";"";1326.08;"In Transit";"2024-02-08";"";1
"SHP000147";"ORD010181";"W010";"Delhivery";"2023-01-04";"2023-01-08";676.82;"Delivered";"2023-01-04";"2023-01-08";1
"SHP000148";"ORD013289";"W021";"Ekart";"2024-05-17";"2024-06-01";1875.18;"Delivered";"2024-05-17";"2024-06-01";1
"SHP000149";"ORD014559";"W015";"DTDC";"2025-05-01";"2025-05-06";577.9;"Delivered";"2025-05-01";"2025-05-06";1
"SHP000150";"ORD008130";"W049";"Ekart";"2024-09-06";"";241.95;"Lost";"2024-09-06";"";1
"SHP000151";"ORD013485";"W029";"Ekart";"2024-05-02";"2024-05-16";1819.77;"Delivered";"2024-05-02";"2024-05-16";1
"SHP000152";"ORD008436";"W006";"Shadowfax";"2024-12-13";"2024-12-14";295.61;"Delivered";"2024-12-13";"2024-12-14";1
"SHP000153";"ORD010163";"W006";"XpressBees";"2024-12-06";"";1227.43;"In Transit";"2024-12-06";"";1
"SHP000154";"ORD014263";"W041";"Delhivery";"2024-05-21";"2024-06-13";792.04;"Delivered";"2024-05-21";"2024-06-13";1
"SHP000155";"ORD008553";"W034";"Blue Dart";"2025-06-23";"2025-07-05";1282.94;"Delivered";"2025-06-23";"2025-07-05";1
"SHP000156";"";"W037";"DTDC";"2024-09-26";"";1785.29;"In Transit";"2024-09-26";"";1
"SHP000157";"";"W003";"DTDC";"2025-12-30";"2026-01-19";223.01;"Delivered";"2025-12-30";"2026-01-19";1
"SHP000158";"ORD000766";"W046";"";"2025-10-02";"2025-10-16";861.19;"Delivered";"2025-10-02";"2025-10-16";1
"SHP000159";"ORD003070";"W026";"FedEx";"2023-08-08";"2023-08-30";1459.9;"Delivered";"2023-08-08";"2023-08-30";1
"SHP000160";"ORD002870";"W024";"Delhivery";"2025-10-12";"";100.06;"Lost";"2025-10-12";"";1
"SHP000161";"ORD006155";"W002";"Shadowfax";"2025-01-24";"2025-02-18";985.26;"Delivered";"2025-01-24";"2025-02-18";1
"SHP000162";"ORD009075";"W012";"Delhivery";"2023-01-31";"2023-02-26";1300.89;"Delivered";"2023-01-31";"2023-02-26";1
"SHP000163";"ORD001866";"W014";"Gati";"2025-02-22";"2025-02-23";1656.56;"Delivered";"2025-02-22";"2025-02-23";1
"SHP000164";"";"W005";"";"2024-07-23";"";259.23;"In Transit";"2024-07-23";"";1
"SHP000165";"";"W011";"XpressBees";"2025-02-01";"2025-02-06";550.98;"Delivered";"2025-02-01";"2025-02-06";1
"SHP000166";"ORD001246";"W010";"Ekart";"2023-06-24";"2023-07-21";294.45;"Delivered";"2023-06-24";"2023-07-21";1
"SHP000167";"ORD000110";"W023";"Shadowfax";"2024-01-02";"2024-01-23";1938.06;"Delivered";"2024-01-02";"2024-01-23";1
"SHP000168";"";"W014";"FedEx";"2023-04-29";"2023-05-07";934.93;"Delivered";"2023-04-29";"2023-05-07";1
"SHP000169";"ORD011864";"W003";"FedEx";"2025-06-17";"2025-06-27";1860.18;"Delivered";"2025-06-17";"2025-06-27";1
"SHP000170";"ORD007337";"W028";"Gati";"2023-06-13";"2023-06-28";1391.3;"Delivered";"2023-06-13";"2023-06-28";1
"SHP000171";"ORD011948";"W009";"";"2024-05-04";"2024-05-21";1899.27;"Delivered";"2024-05-04";"2024-05-21";1
"SHP000172";"ORD004215";"W019";"";"2024-11-22";"2024-12-19";1473.76;"Delivered";"2024-11-22";"2024-12-19";1
"SHP000173";"ORD003947";"W024";"Gati";"2023-02-04";"2023-02-28";662.2;"Delivered";"2023-02-04";"2023-02-28";1
"SHP000174";"ORD003766";"W001";"Blue Dart";"2023-03-28";"2023-04-26";467.38;"Delivered";"2023-03-28";"2023-04-26";1
"SHP000175";"";"W046";"Delhivery";"2025-12-17";"2025-12-22";1024.83;"Delivered";"2025-12-17";"2025-12-22";1
"SHP000176";"ORD001111";"W040";"Gati";"2025-11-14";"2025-12-07";746.52;"Delivered";"2025-11-14";"2025-12-07";1
"SHP000177";"ORD010138";"W015";"";"2025-11-13";"";184.14;"In Transit";"2025-11-13";"";1
"SHP000178";"ORD010643";"W046";"XpressBees";"2024-05-20";"2024-05-29";837.01;"Delivered";"2024-05-20";"2024-05-29";1
"SHP000179";"ORD001504";"W007";"XpressBees";"2025-08-01";"2025-08-22";1355.61;"Delivered";"2025-08-01";"2025-08-22";1
"SHP000180";"ORD002437";"W020";"XpressBees";"2025-02-28";"2025-03-27";1603.72;"Delivered";"2025-02-28";"2025-03-27";1
"SHP000181";"ORD008956";"W044";"Gati";"2023-05-27";"";251.1;"In Transit";"2023-05-27";"";1
"SHP000182";"ORD010915";"W029";"Shadowfax";"2024-09-29";"2024-10-24";502.62;"Delivered";"2024-09-29";"2024-10-24";1
"SHP000183";"ORD002692";"W049";"Shadowfax";"2023-07-19";"2023-08-08";423.83;"Delivered";"2023-07-19";"2023-08-08";1
"SHP000184";"ORD009674";"W005";"XpressBees";"2023-10-15";"2023-11-07";667.79;"Delivered";"2023-10-15";"2023-11-07";1
"SHP000185";"ORD003304";"W016";"Shadowfax";"2024-03-20";"2024-03-23";1351.61;"Delayed";"2024-03-20";"2024-03-23";1
"SHP000186";"ORD014566";"W049";"DTDC";"2023-12-11";"2023-12-13";866.12;"Delivered";"2023-12-11";"2023-12-13";1
"SHP000187";"ORD002453";"W014";"Shadowfax";"2024-11-06";"2024-12-04";1845.37;"Delivered";"2024-11-06";"2024-12-04";1
"SHP000188";"ORD006740";"W016";"Ekart";"2024-12-14";"2024-12-22";878.05;"Delivered";"2024-12-14";"2024-12-22";1
"SHP000189";"ORD010173";"W031";"Delhivery";"2023-10-26";"2023-11-10";1152.95;"Delivered";"2023-10-26";"2023-11-10";1
"SHP000190";"ORD011593";"W017";"Shadowfax";"2025-06-04";"2025-06-25";846.52;"Delivered";"2025-06-04";"2025-06-25";1
"SHP000191";"ORD005431";"W047";"XpressBees";"2023-11-14";"2023-11-24";1602.31;"Delayed";"2023-11-14";"2023-11-24";1
"SHP000192";"ORD009943";"W021";"XpressBees";"2024-08-08";"2024-08-10";744.61;"Delivered";"2024-08-08";"2024-08-10";1
"SHP000193";"ORD004437";"W023";"Gati";"2024-12-23";"2025-01-14";822.1;"Delivered";"2024-12-23";"2025-01-14";1
"SHP000194";"ORD001331";"W013";"Blue Dart";"2025-06-03";"";62594.06;"In Transit";"2025-06-03";"";1
"SHP000195";"ORD007400";"W023";"Shadowfax";"2025-07-18";"2025-07-21";1443.98;"Delivered";"2025-07-18";"2025-07-21";1
"SHP000196";"ORD005171";"W046";"Blue Dart";"2025-10-31";"2025-11-03";858.51;"Delivered";"2025-10-31";"2025-11-03";1
"SHP000197";"ORD001328";"W014";"Ekart";"2023-11-21";"";1514.75;"In Transit";"2023-11-21";"";1
"SHP000198";"ORD006844";"W006";"XpressBees";"2025-07-02";"";1895.57;"In Transit";"2025-07-02";"";1
"SHP000199";"ORD003977";"W035";"XpressBees";"2023-01-04";"";619.27;"In Transit";"2023-01-04";"";1
"SHP000200";"ORD009554";"W050";"DTDC";"2024-02-29";"";60.1;"In Transit";"2024-02-29";"";1
"SHP000201";"ORD003944";"W001";"DTDC";"2025-05-28";"";105.07;"In Transit";"2025-05-28";"";1
"SHP000202";"ORD005458";"W025";"FedEx";"2023-02-09";"2023-02-19";1476.8;"Delivered";"2023-02-09";"2023-02-19";1
"SHP000203";"ORD002080";"W018";"DTDC";"2025-12-06";"2025-12-18";375.42;"Delivered";"2025-12-06";"2025-12-18";1
"SHP000204";"";"W032";"Blue Dart";"2025-08-27";"2025-09-14";1577.11;"Delivered";"2025-08-27";"2025-09-14";1
"SHP000205";"ORD007376";"W005";"DTDC";"2024-04-12";"2024-04-13";921.9;"Delivered";"2024-04-12";"2024-04-13";1
"SHP000206";"ORD008757";"W050";"Delhivery";"2025-02-22";"";1011.29;"Lost";"2025-02-22";"";1
"SHP000207";"ORD012066";"W021";"XpressBees";"2025-05-19";"2025-06-15";1101.5;"Delivered";"2025-05-19";"2025-06-15";1
"SHP000208";"ORD014326";"W036";"FedEx";"2025-12-30";"";920.51;"In Transit";"2025-12-30";"";1
"SHP000209";"ORD001080";"W011";"Gati";"2024-04-25";"";1347.52;"In Transit";"2024-04-25";"";1
